split,method,seed,episodes,success_rate,success_ci95,energy_mean,energy_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,normal_impulse_mean
combined_shift,cefv_full,0,12,0.2500,0.2559,0.1689,0.0366,0.1078,0.0289,0.7510,0.0652,0.0000,1.3640
combined_shift,cefv_full,1,12,0.3333,0.2786,0.1494,0.0344,0.1040,0.0272,0.7202,0.0778,0.0000,1.0505
combined_shift,cefv_full,2,12,0.3333,0.2786,0.1678,0.0303,0.1122,0.0328,0.6949,0.0965,0.0000,1.0964
combined_shift,cefv_full,3,12,0.3333,0.2786,0.1364,0.0217,0.0917,0.0186,0.7786,0.0391,0.0000,1.6400
combined_shift,cefv_full,4,12,0.0833,0.1633,0.2200,0.0561,0.1723,0.0485,0.5466,0.1217,0.0000,0.6618
combined_shift,geometry_mpc,0,12,0.2500,0.2559,0.1845,0.0351,0.1177,0.0311,0.7256,0.0730,0.0000,1.4614
combined_shift,geometry_mpc,1,12,0.1667,0.2202,0.1839,0.0286,0.1167,0.0264,0.6870,0.0758,0.0000,1.1386
combined_shift,geometry_mpc,2,12,0.1667,0.2202,0.1597,0.0324,0.1004,0.0260,0.7305,0.0740,0.0000,1.1243
combined_shift,geometry_mpc,3,12,0.4167,0.2913,0.1899,0.0431,0.1105,0.0362,0.7310,0.0875,0.0000,1.3538
combined_shift,geometry_mpc,4,12,0.0833,0.1633,0.2671,0.0561,0.1965,0.0560,0.4858,0.1438,0.0000,0.6527
combined_shift,oracle_embodiment_mpc,0,12,0.3333,0.2786,0.1373,0.0287,0.0919,0.0299,0.7860,0.0717,0.0000,1.3481
combined_shift,oracle_embodiment_mpc,1,12,0.3333,0.2786,0.1330,0.0215,0.0940,0.0183,0.7449,0.0583,0.0000,1.0894
combined_shift,oracle_embodiment_mpc,2,12,0.5000,0.2955,0.1373,0.0337,0.0937,0.0331,0.7517,0.0886,0.0000,0.9319
combined_shift,oracle_embodiment_mpc,3,12,0.5000,0.2955,0.1148,0.0192,0.0781,0.0207,0.8111,0.0453,0.0000,1.5404
combined_shift,oracle_embodiment_mpc,4,12,0.1667,0.2202,0.1848,0.0411,0.1311,0.0403,0.6500,0.1105,0.0000,0.6678
combined_shift,random_shooting,0,12,0.0833,0.1633,0.3746,0.1095,0.2794,0.0856,0.3395,0.2102,0.0833,1.7093
combined_shift,random_shooting,1,12,0.0000,0.0000,0.2750,0.0450,0.2162,0.0452,0.4220,0.1301,0.0000,1.1191
combined_shift,random_shooting,2,12,0.3333,0.2786,0.1890,0.0393,0.1349,0.0381,0.6267,0.1203,0.0000,1.2063
combined_shift,random_shooting,3,12,0.0833,0.1633,0.2844,0.0657,0.2209,0.0550,0.4600,0.1333,0.0000,1.7145
combined_shift,random_shooting,4,12,0.0000,0.0000,0.3120,0.0782,0.2532,0.0777,0.3414,0.1932,0.0000,0.6971
combined_shift,raw_force_scalar,0,12,0.0833,0.1633,0.2741,0.1000,0.1912,0.0694,0.5595,0.1528,0.0833,1.5401
combined_shift,raw_force_scalar,1,12,0.0000,0.0000,0.2622,0.0539,0.2025,0.0485,0.4586,0.1397,0.0000,1.1839
combined_shift,raw_force_scalar,2,12,0.3333,0.2786,0.2200,0.0615,0.1677,0.0633,0.5628,0.1563,0.0000,1.2848
combined_shift,raw_force_scalar,3,12,0.1667,0.2202,0.2951,0.0841,0.2333,0.0716,0.4268,0.1765,0.0000,1.7534
combined_shift,raw_force_scalar,4,12,0.0000,0.0000,0.3277,0.0981,0.2457,0.0695,0.3697,0.1524,0.0833,0.7735
combined_shift,robust_domain_randomized_mpc,0,12,0.2500,0.2559,0.1667,0.0305,0.1124,0.0318,0.7361,0.0807,0.0000,1.3829
combined_shift,robust_domain_randomized_mpc,1,12,0.3333,0.2786,0.1494,0.0344,0.1040,0.0272,0.7202,0.0778,0.0000,1.0505
combined_shift,robust_domain_randomized_mpc,2,12,0.4167,0.2913,0.1644,0.0330,0.1060,0.0310,0.7107,0.0936,0.0000,1.0630
combined_shift,robust_domain_randomized_mpc,3,12,0.3333,0.2786,0.1392,0.0227,0.0943,0.0184,0.7729,0.0375,0.0000,1.6421
combined_shift,robust_domain_randomized_mpc,4,12,0.0000,0.0000,0.1958,0.0406,0.1498,0.0365,0.6068,0.0962,0.0000,0.6322
combined_shift,source_action_transfer,0,12,0.2500,0.2559,0.1843,0.0338,0.1125,0.0279,0.7381,0.0654,0.0000,1.3453
combined_shift,source_action_transfer,1,12,0.1667,0.2202,0.1964,0.0310,0.1366,0.0317,0.6312,0.0947,0.0000,0.9734
combined_shift,source_action_transfer,2,12,0.2500,0.2559,0.1610,0.0352,0.1074,0.0328,0.7095,0.0961,0.0000,1.0478
combined_shift,source_action_transfer,3,12,0.3333,0.2786,0.2050,0.0530,0.1231,0.0459,0.7055,0.0997,0.0000,1.3776
combined_shift,source_action_transfer,4,12,0.0833,0.1633,0.2506,0.0596,0.1876,0.0634,0.5070,0.1588,0.0000,0.7064
heavy_object,cefv_full,0,12,0.0833,0.1633,0.2283,0.0418,0.1779,0.0391,0.5282,0.1060,0.0000,1.4071
heavy_object,cefv_full,1,12,0.3333,0.2786,0.1605,0.0291,0.1058,0.0259,0.6960,0.0690,0.0000,1.0545
heavy_object,cefv_full,2,12,0.2500,0.2559,0.1623,0.0286,0.1143,0.0225,0.6699,0.0606,0.0000,1.1754
heavy_object,cefv_full,3,12,0.1667,0.2202,0.1541,0.0240,0.1088,0.0214,0.6981,0.0517,0.0000,0.9504
heavy_object,cefv_full,4,12,0.3333,0.2786,0.1756,0.0335,0.1239,0.0345,0.6629,0.1062,0.0000,1.5701
heavy_object,geometry_mpc,0,12,0.0833,0.1633,0.2194,0.0263,0.1586,0.0387,0.5787,0.1056,0.0000,1.2526
heavy_object,geometry_mpc,1,12,0.1667,0.2202,0.2104,0.0340,0.1402,0.0370,0.5915,0.1100,0.0000,1.0951
heavy_object,geometry_mpc,2,12,0.0000,0.0000,0.2033,0.0320,0.1616,0.0344,0.5412,0.0748,0.0000,1.2362
heavy_object,geometry_mpc,3,12,0.0000,0.0000,0.2137,0.0286,0.1697,0.0343,0.5260,0.0922,0.0000,1.0635
heavy_object,geometry_mpc,4,12,0.0833,0.1633,0.1997,0.0207,0.1326,0.0301,0.6444,0.0895,0.0000,1.5437
heavy_object,oracle_embodiment_mpc,0,12,0.3333,0.2786,0.1631,0.0292,0.1060,0.0256,0.7191,0.0699,0.0000,1.2213
heavy_object,oracle_embodiment_mpc,1,12,0.4167,0.2913,0.1524,0.0232,0.0940,0.0232,0.7298,0.0597,0.0000,1.0753
heavy_object,oracle_embodiment_mpc,2,12,0.4167,0.2913,0.1504,0.0264,0.0967,0.0246,0.7159,0.0722,0.0000,1.1763
heavy_object,oracle_embodiment_mpc,3,12,0.3333,0.2786,0.1515,0.0242,0.1002,0.0222,0.7231,0.0512,0.0000,0.9324
heavy_object,oracle_embodiment_mpc,4,12,0.2500,0.2559,0.1496,0.0199,0.0980,0.0187,0.7357,0.0632,0.0000,1.5137
heavy_object,random_shooting,0,12,0.1667,0.2202,0.2648,0.0588,0.2032,0.0592,0.4580,0.1623,0.0000,1.1756
heavy_object,random_shooting,1,12,0.0000,0.0000,0.2555,0.0585,0.2045,0.0558,0.4340,0.1245,0.0000,1.2897
heavy_object,random_shooting,2,12,0.0833,0.1633,0.2920,0.0585,0.2257,0.0549,0.3415,0.1506,0.0000,1.3091
heavy_object,random_shooting,3,12,0.0000,0.0000,0.2595,0.0541,0.2071,0.0463,0.4341,0.1023,0.0000,1.0622
heavy_object,random_shooting,4,12,0.0000,0.0000,0.3020,0.0796,0.2325,0.0718,0.3952,0.1671,0.0000,1.5813
heavy_object,raw_force_scalar,0,12,0.0833,0.1633,0.2687,0.0691,0.2015,0.0619,0.4802,0.1436,0.0000,1.3785
heavy_object,raw_force_scalar,1,12,0.1667,0.2202,0.2472,0.0404,0.1834,0.0462,0.4779,0.1257,0.0000,1.1049
heavy_object,raw_force_scalar,2,12,0.0000,0.0000,0.2602,0.0451,0.2095,0.0394,0.3942,0.1012,0.0000,1.3430
heavy_object,raw_force_scalar,3,12,0.0000,0.0000,0.2737,0.0892,0.2202,0.0818,0.4069,0.1879,0.0000,1.1319
heavy_object,raw_force_scalar,4,12,0.0000,0.0000,0.3326,0.0928,0.2558,0.0519,0.3258,0.1302,0.0833,1.7484
heavy_object,robust_domain_randomized_mpc,0,12,0.2500,0.2559,0.1705,0.0305,0.1186,0.0253,0.6883,0.0641,0.0000,1.2667
