split,method,seed,episodes,success_rate,success_ci95,energy_mean,energy_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,normal_impulse_mean
heavy_object,robust_domain_randomized_mpc,1,12,0.4167,0.2913,0.1525,0.0232,0.0954,0.0233,0.7252,0.0615,0.0000,1.0795
heavy_object,robust_domain_randomized_mpc,2,12,0.2500,0.2559,0.1629,0.0285,0.1105,0.0226,0.6826,0.0574,0.0000,1.1169
heavy_object,robust_domain_randomized_mpc,3,12,0.2500,0.2559,0.1569,0.0286,0.1079,0.0252,0.7023,0.0602,0.0000,0.9541
heavy_object,robust_domain_randomized_mpc,4,12,0.3333,0.2786,0.1631,0.0250,0.1084,0.0235,0.7070,0.0725,0.0000,1.5759
heavy_object,source_action_transfer,0,12,0.0833,0.1633,0.2145,0.0296,0.1490,0.0349,0.6073,0.0897,0.0000,1.2829
heavy_object,source_action_transfer,1,12,0.0000,0.0000,0.1848,0.0338,0.1314,0.0272,0.6273,0.0662,0.0000,0.9870
heavy_object,source_action_transfer,2,12,0.1667,0.2202,0.2010,0.0317,0.1407,0.0285,0.5947,0.0738,0.0000,1.1317
heavy_object,source_action_transfer,3,12,0.0833,0.1633,0.1804,0.0338,0.1286,0.0223,0.6467,0.0481,0.0000,1.0243
heavy_object,source_action_transfer,4,12,0.1667,0.2202,0.1818,0.0171,0.1275,0.0296,0.6579,0.0831,0.0000,1.4618
heldout_high_gain,cefv_full,0,12,0.0000,0.0000,0.2406,0.0368,0.1839,0.0325,0.4947,0.0756,0.0000,0.5239
heldout_high_gain,cefv_full,1,12,0.0000,0.0000,0.2361,0.0280,0.1826,0.0193,0.4749,0.0577,0.0000,0.4877
heldout_high_gain,cefv_full,2,12,0.0000,0.0000,0.2410,0.0359,0.1825,0.0293,0.4866,0.0828,0.0000,0.5798
heldout_high_gain,cefv_full,3,12,0.0000,0.0000,0.2538,0.0343,0.1848,0.0335,0.4644,0.0934,0.0000,0.4325
heldout_high_gain,cefv_full,4,12,0.0000,0.0000,0.2421,0.0287,0.1917,0.0290,0.4718,0.0623,0.0000,0.5497
heldout_high_gain,geometry_mpc,0,12,0.0000,0.0000,0.2520,0.0356,0.1865,0.0395,0.4898,0.0908,0.0000,0.5174
heldout_high_gain,geometry_mpc,1,12,0.0000,0.0000,0.2892,0.0240,0.2384,0.0313,0.3133,0.0912,0.0000,0.6172
heldout_high_gain,geometry_mpc,2,12,0.0000,0.0000,0.2866,0.0228,0.2144,0.0359,0.4000,0.0893,0.0000,0.5168
heldout_high_gain,geometry_mpc,3,12,0.0000,0.0000,0.2882,0.0250,0.2271,0.0335,0.3382,0.0983,0.0000,0.5215
heldout_high_gain,geometry_mpc,4,12,0.0000,0.0000,0.2667,0.0305,0.2037,0.0395,0.4274,0.1267,0.0000,0.6026
heldout_high_gain,oracle_embodiment_mpc,0,12,0.0000,0.0000,0.2025,0.0223,0.1637,0.0234,0.5480,0.0563,0.0000,0.5066
heldout_high_gain,oracle_embodiment_mpc,1,12,0.0000,0.0000,0.2216,0.0253,0.1739,0.0224,0.5015,0.0586,0.0000,0.5668
heldout_high_gain,oracle_embodiment_mpc,2,12,0.0000,0.0000,0.2120,0.0337,0.1659,0.0308,0.5399,0.0688,0.0000,0.5761
heldout_high_gain,oracle_embodiment_mpc,3,12,0.0000,0.0000,0.2184,0.0259,0.1565,0.0217,0.5477,0.0564,0.0000,0.5285
heldout_high_gain,oracle_embodiment_mpc,4,12,0.0000,0.0000,0.2245,0.0275,0.1742,0.0284,0.5187,0.0721,0.0000,0.5269
heldout_high_gain,random_shooting,0,12,0.0000,0.0000,0.3991,0.0903,0.3361,0.0739,0.0731,0.1991,0.0000,0.4665
heldout_high_gain,random_shooting,1,12,0.0000,0.0000,0.3577,0.0758,0.2870,0.0709,0.1830,0.1948,0.0000,0.5445
heldout_high_gain,random_shooting,2,12,0.0000,0.0000,0.3741,0.0941,0.2971,0.0614,0.1815,0.1293,0.0833,0.6992
heldout_high_gain,random_shooting,3,12,0.0000,0.0000,0.4067,0.0754,0.3416,0.0694,0.0186,0.1598,0.0000,0.4687
heldout_high_gain,random_shooting,4,12,0.0000,0.0000,0.3861,0.0727,0.3138,0.0622,0.1471,0.1296,0.0000,0.6068
heldout_high_gain,raw_force_scalar,0,12,0.0000,0.0000,0.3306,0.0732,0.2676,0.0712,0.2562,0.1944,0.0000,0.5014
heldout_high_gain,raw_force_scalar,1,12,0.0000,0.0000,0.3495,0.0603,0.2943,0.0484,0.1462,0.1531,0.0000,0.6540
heldout_high_gain,raw_force_scalar,2,12,0.0000,0.0000,0.4019,0.1056,0.2970,0.0732,0.1819,0.1692,0.1667,0.5787
heldout_high_gain,raw_force_scalar,3,12,0.0000,0.0000,0.3351,0.0469,0.2916,0.0404,0.1501,0.1205,0.0000,0.4966
heldout_high_gain,raw_force_scalar,4,12,0.0000,0.0000,0.3339,0.0562,0.2680,0.0453,0.2481,0.1380,0.0000,0.6745
heldout_high_gain,robust_domain_randomized_mpc,0,12,0.0000,0.0000,0.2216,0.0231,0.1793,0.0255,0.5090,0.0543,0.0000,0.4487
heldout_high_gain,robust_domain_randomized_mpc,1,12,0.0000,0.0000,0.2304,0.0288,0.1848,0.0309,0.4727,0.0728,0.0000,0.5243
heldout_high_gain,robust_domain_randomized_mpc,2,12,0.0000,0.0000,0.2215,0.0345,0.1732,0.0296,0.5180,0.0686,0.0000,0.5903
heldout_high_gain,robust_domain_randomized_mpc,3,12,0.0000,0.0000,0.2429,0.0352,0.1749,0.0277,0.4968,0.0684,0.0000,0.4130
heldout_high_gain,robust_domain_randomized_mpc,4,12,0.0000,0.0000,0.2357,0.0291,0.1829,0.0303,0.4930,0.0729,0.0000,0.5289
heldout_high_gain,source_action_transfer,0,12,0.0000,0.0000,0.2825,0.0372,0.2278,0.0442,0.3833,0.0912,0.0000,0.4090
heldout_high_gain,source_action_transfer,1,12,0.0000,0.0000,0.2715,0.0166,0.2051,0.0258,0.4119,0.0624,0.0000,0.5807
heldout_high_gain,source_action_transfer,2,12,0.0000,0.0000,0.2490,0.0397,0.1813,0.0348,0.4940,0.0843,0.0000,0.4944
heldout_high_gain,source_action_transfer,3,12,0.0000,0.0000,0.2699,0.0341,0.2039,0.0291,0.4133,0.0747,0.0000,0.4332
heldout_high_gain,source_action_transfer,4,12,0.0000,0.0000,0.2659,0.0291,0.2132,0.0297,0.4115,0.0695,0.0000,0.7840
heldout_large_soft,cefv_full,0,12,0.3333,0.2786,0.1379,0.0223,0.0955,0.0201,0.7077,0.0653,0.0000,0.4447
heldout_large_soft,cefv_full,1,12,0.4167,0.2913,0.1198,0.0165,0.0801,0.0126,0.7734,0.0355,0.0000,0.4786
heldout_large_soft,cefv_full,2,12,0.5000,0.2955,0.1196,0.0147,0.0773,0.0128,0.7696,0.0456,0.0000,0.4849
heldout_large_soft,cefv_full,3,12,0.7500,0.2559,0.1184,0.0210,0.0725,0.0187,0.7866,0.0544,0.0000,0.4025
heldout_large_soft,cefv_full,4,12,0.3333,0.2786,0.1293,0.0137,0.0943,0.0131,0.7262,0.0379,0.0000,0.4430
heldout_large_soft,geometry_mpc,0,12,0.2500,0.2559,0.1456,0.0113,0.0913,0.0126,0.7252,0.0371,0.0000,0.4699
heldout_large_soft,geometry_mpc,1,12,0.2500,0.2559,0.1584,0.0195,0.0944,0.0183,0.7314,0.0514,0.0000,0.4126
heldout_large_soft,geometry_mpc,2,12,0.3333,0.2786,0.1619,0.0174,0.0997,0.0215,0.7047,0.0621,0.0000,0.3311
heldout_large_soft,geometry_mpc,3,12,0.0833,0.1633,0.1629,0.0187,0.1151,0.0183,0.6614,0.0582,0.0000,0.4349
heldout_large_soft,geometry_mpc,4,12,0.0833,0.1633,0.1608,0.0168,0.1206,0.0203,0.6547,0.0493,0.0000,0.4683
heldout_large_soft,oracle_embodiment_mpc,0,12,0.5833,0.2913,0.1223,0.0138,0.0728,0.0151,0.7777,0.0470,0.0000,0.4569
heldout_large_soft,oracle_embodiment_mpc,1,12,0.5833,0.2913,0.1093,0.0092,0.0716,0.0112,0.7968,0.0312,0.0000,0.4476
heldout_large_soft,oracle_embodiment_mpc,2,12,0.5833,0.2913,0.1146,0.0155,0.0711,0.0141,0.7860,0.0488,0.0000,0.4598
heldout_large_soft,oracle_embodiment_mpc,3,12,0.8333,0.2202,0.1075,0.0117,0.0623,0.0102,0.8161,0.0328,0.0000,0.4204
heldout_large_soft,oracle_embodiment_mpc,4,12,0.6667,0.2786,0.1229,0.0140,0.0746,0.0113,0.7807,0.0389,0.0000,0.4844
heldout_large_soft,random_shooting,0,12,0.1667,0.2202,0.2332,0.0467,0.1743,0.0452,0.4843,0.1240,0.0000,0.4600
heldout_large_soft,random_shooting,1,12,0.0833,0.1633,0.2247,0.0597,0.1830,0.0489,0.4781,0.1360,0.0000,0.5112
heldout_large_soft,random_shooting,2,12,0.1667,0.2202,0.2085,0.0488,0.1673,0.0456,0.5125,0.1158,0.0000,0.4755
heldout_large_soft,random_shooting,3,12,0.1667,0.2202,0.2501,0.0570,0.2010,0.0592,0.4068,0.1681,0.0000,0.5220
heldout_large_soft,random_shooting,4,12,0.0000,0.0000,0.2749,0.0412,0.2249,0.0379,0.3455,0.1148,0.0000,0.4351
heldout_large_soft,raw_force_scalar,0,12,0.1667,0.2202,0.2254,0.0486,0.1755,0.0421,0.4713,0.1282,0.0000,0.5156
heldout_large_soft,raw_force_scalar,1,12,0.0000,0.0000,0.2254,0.0548,0.1823,0.0408,0.4940,0.0920,0.0000,0.4960
heldout_large_soft,raw_force_scalar,2,12,0.2500,0.2559,0.1814,0.0400,0.1300,0.0376,0.6102,0.1217,0.0000,0.3817
heldout_large_soft,raw_force_scalar,3,12,0.2500,0.2559,0.2236,0.0630,0.1741,0.0649,0.5058,0.1606,0.0000,0.4450
heldout_large_soft,raw_force_scalar,4,12,0.1667,0.2202,0.2078,0.0483,0.1451,0.0430,0.5927,0.1039,0.0000,0.5082
heldout_large_soft,robust_domain_randomized_mpc,0,12,0.3333,0.2786,0.1352,0.0237,0.0924,0.0224,0.7155,0.0720,0.0000,0.4198
heldout_large_soft,robust_domain_randomized_mpc,1,12,0.5000,0.2955,0.1201,0.0159,0.0827,0.0159,0.7689,0.0366,0.0000,0.4849
heldout_large_soft,robust_domain_randomized_mpc,2,12,0.4167,0.2913,0.1216,0.0149,0.0826,0.0137,0.7532,0.0487,0.0000,0.4686
heldout_large_soft,robust_domain_randomized_mpc,3,12,0.8333,0.2202,0.1137,0.0212,0.0686,0.0187,0.7990,0.0520,0.0000,0.3926
heldout_large_soft,robust_domain_randomized_mpc,4,12,0.5000,0.2955,0.1262,0.0133,0.0831,0.0119,0.7561,0.0407,0.0000,0.4697
heldout_large_soft,source_action_transfer,0,12,0.1667,0.2202,0.1520,0.0249,0.1105,0.0217,0.6671,0.0650,0.0000,0.4137
heldout_large_soft,source_action_transfer,1,12,0.3333,0.2786,0.1624,0.0196,0.0986,0.0182,0.7162,0.0603,0.0000,0.4458
heldout_large_soft,source_action_transfer,2,12,0.2500,0.2559,0.1400,0.0199,0.0957,0.0173,0.7127,0.0637,0.0000,0.4429
heldout_large_soft,source_action_transfer,3,12,0.4167,0.2913,0.1410,0.0231,0.1037,0.0243,0.7081,0.0539,0.0000,0.4526
heldout_large_soft,source_action_transfer,4,12,0.2500,0.2559,0.1657,0.0204,0.1110,0.0220,0.6743,0.0673,0.0000,0.5018
heldout_small_radius,cefv_full,0,12,0.0833,0.1633,0.1492,0.0211,0.1162,0.0158,0.6668,0.0467,0.0000,0.3816
heldout_small_radius,cefv_full,1,12,0.0000,0.0000,0.1567,0.0160,0.1096,0.0135,0.6688,0.0399,0.0000,0.3027
heldout_small_radius,cefv_full,2,12,0.0000,0.0000,0.1423,0.0172,0.1068,0.0136,0.6799,0.0344,0.0000,0.4205
heldout_small_radius,cefv_full,3,12,0.0833,0.1633,0.1836,0.0297,0.1201,0.0198,0.6658,0.0475,0.0000,0.4051
heldout_small_radius,cefv_full,4,12,0.0833,0.1633,0.1513,0.0142,0.1082,0.0126,0.6864,0.0422,0.0000,0.3584
heldout_small_radius,geometry_mpc,0,12,0.2500,0.2559,0.1600,0.0347,0.0885,0.0190,0.7452,0.0554,0.0833,0.2778
heldout_small_radius,geometry_mpc,1,12,0.1667,0.2202,0.1753,0.0333,0.0948,0.0149,0.7118,0.0493,0.0000,0.3112
heldout_small_radius,geometry_mpc,2,12,0.0833,0.1633,0.1747,0.0171,0.1073,0.0164,0.6752,0.0493,0.0000,0.3832
heldout_small_radius,geometry_mpc,3,12,0.1667,0.2202,0.1712,0.0297,0.1038,0.0163,0.7076,0.0529,0.0000,0.3954
heldout_small_radius,geometry_mpc,4,12,0.0833,0.1633,0.1759,0.0210,0.1147,0.0171,0.6706,0.0416,0.0000,0.3724
heldout_small_radius,oracle_embodiment_mpc,0,12,0.4167,0.2913,0.1216,0.0278,0.0840,0.0212,0.7554,0.0701,0.0000,0.3109
heldout_small_radius,oracle_embodiment_mpc,1,12,0.1667,0.2202,0.1456,0.0253,0.1034,0.0204,0.6891,0.0587,0.0000,0.3078
heldout_small_radius,oracle_embodiment_mpc,2,12,0.1667,0.2202,0.1220,0.0212,0.0924,0.0202,0.7235,0.0589,0.0000,0.3865
heldout_small_radius,oracle_embodiment_mpc,3,12,0.2500,0.2559,0.1514,0.0297,0.0995,0.0203,0.7229,0.0566,0.0000,0.4401
heldout_small_radius,oracle_embodiment_mpc,4,12,0.2500,0.2559,0.1318,0.0180,0.0967,0.0190,0.7150,0.0652,0.0000,0.3157
heldout_small_radius,random_shooting,0,12,0.0833,0.1633,0.2397,0.0640,0.1727,0.0624,0.5125,0.1761,0.0833,0.3370
heldout_small_radius,random_shooting,1,12,0.0833,0.1633,0.2658,0.0852,0.1992,0.0760,0.4217,0.1911,0.0000,0.3042
heldout_small_radius,random_shooting,2,12,0.0000,0.0000,0.2569,0.0653,0.1953,0.0624,0.4249,0.1698,0.0000,0.5016
heldout_small_radius,random_shooting,3,12,0.0000,0.0000,0.2585,0.0411,0.1937,0.0452,0.4548,0.1327,0.0000,0.4226
heldout_small_radius,random_shooting,4,12,0.0833,0.1633,0.2537,0.0632,0.2013,0.0573,0.4279,0.1454,0.0000,0.3988
heldout_small_radius,raw_force_scalar,0,12,0.0000,0.0000,0.2816,0.0630,0.2042,0.0638,0.4117,0.1835,0.0833,0.3877
heldout_small_radius,raw_force_scalar,1,12,0.0833,0.1633,0.2478,0.0534,0.2087,0.0481,0.3778,0.1352,0.0000,0.3094
heldout_small_radius,raw_force_scalar,2,12,0.1667,0.2202,0.2741,0.0726,0.2247,0.0656,0.3323,0.1877,0.0000,0.4238
heldout_small_radius,raw_force_scalar,3,12,0.0000,0.0000,0.2618,0.0703,0.2008,0.0591,0.4482,0.1427,0.0000,0.4731
heldout_small_radius,raw_force_scalar,4,12,0.0833,0.1633,0.2556,0.0507,0.2059,0.0471,0.3993,0.1347,0.0000,0.3611
heldout_small_radius,robust_domain_randomized_mpc,0,12,0.0833,0.1633,0.1459,0.0201,0.1167,0.0158,0.6656,0.0463,0.0000,0.3611
heldout_small_radius,robust_domain_randomized_mpc,1,12,0.0000,0.0000,0.1555,0.0148,0.1117,0.0132,0.6639,0.0363,0.0000,0.3206
heldout_small_radius,robust_domain_randomized_mpc,2,12,0.0000,0.0000,0.1392,0.0154,0.1086,0.0141,0.6751,0.0336,0.0000,0.4268
heldout_small_radius,robust_domain_randomized_mpc,3,12,0.0000,0.0000,0.1842,0.0245,0.1318,0.0171,0.6346,0.0383,0.0000,0.4241
heldout_small_radius,robust_domain_randomized_mpc,4,12,0.0833,0.1633,0.1486,0.0127,0.1094,0.0130,0.6836,0.0415,0.0000,0.3395
heldout_small_radius,source_action_transfer,0,12,0.2500,0.2559,0.1477,0.0306,0.1002,0.0221,0.7081,0.0704,0.0000,0.2797
heldout_small_radius,source_action_transfer,1,12,0.0833,0.1633,0.1794,0.0189,0.1274,0.0151,0.6148,0.0476,0.0000,0.3368
heldout_small_radius,source_action_transfer,2,12,0.0833,0.1633,0.1654,0.0240,0.1099,0.0199,0.6712,0.0529,0.0000,0.3992
heldout_small_radius,source_action_transfer,3,12,0.0000,0.0000,0.1908,0.0197,0.1320,0.0218,0.6280,0.0655,0.0000,0.4268
heldout_small_radius,source_action_transfer,4,12,0.0833,0.1633,0.1678,0.0232,0.1271,0.0229,0.6297,0.0737,0.0000,0.3519
low_friction,cefv_full,0,12,0.1667,0.2202,0.1619,0.0218,0.1149,0.0192,0.6512,0.0661,0.0000,0.1925
low_friction,cefv_full,1,12,0.1667,0.2202,0.1735,0.0238,0.1215,0.0248,0.6609,0.0681,0.0000,0.1908
low_friction,cefv_full,2,12,0.1667,0.2202,0.1579,0.0288,0.1189,0.0269,0.6730,0.0785,0.0000,0.2203
low_friction,cefv_full,3,12,0.0000,0.0000,0.1765,0.0159,0.1312,0.0167,0.6105,0.0638,0.0000,0.2441
low_friction,cefv_full,4,12,0.0000,0.0000,0.1931,0.0271,0.1322,0.0197,0.6475,0.0520,0.0833,0.2768
low_friction,geometry_mpc,0,12,0.0000,0.0000,0.2102,0.0245,0.1554,0.0256,0.5306,0.0786,0.0000,0.2588
low_friction,geometry_mpc,1,12,0.0000,0.0000,0.2307,0.0223,0.1818,0.0375,0.4902,0.1056,0.0000,0.2182
low_friction,geometry_mpc,2,12,0.0833,0.1633,0.2074,0.0288,0.1368,0.0282,0.6294,0.0697,0.0000,0.2037
low_friction,geometry_mpc,3,12,0.0833,0.1633,0.2271,0.0328,0.1655,0.0271,0.5176,0.0787,0.0000,0.2867
low_friction,geometry_mpc,4,12,0.0000,0.0000,0.2494,0.0231,0.1443,0.0298,0.6154,0.0800,0.0833,0.3173
low_friction,oracle_embodiment_mpc,0,12,0.1667,0.2202,0.1581,0.0196,0.1161,0.0190,0.6467,0.0670,0.0000,0.1782
low_friction,oracle_embodiment_mpc,1,12,0.1667,0.2202,0.1697,0.0227,0.1235,0.0247,0.6557,0.0672,0.0000,0.1815
low_friction,oracle_embodiment_mpc,2,12,0.2500,0.2559,0.1460,0.0265,0.1026,0.0175,0.7183,0.0516,0.0000,0.2009
low_friction,oracle_embodiment_mpc,3,12,0.0833,0.1633,0.1684,0.0196,0.1341,0.0187,0.6035,0.0666,0.0000,0.2454
low_friction,oracle_embodiment_mpc,4,12,0.0000,0.0000,0.1763,0.0211,0.1413,0.0189,0.6225,0.0518,0.0000,0.2498
low_friction,random_shooting,0,12,0.0000,0.0000,0.2835,0.0342,0.2423,0.0378,0.2739,0.1170,0.0000,0.2018
low_friction,random_shooting,1,12,0.0000,0.0000,0.3124,0.0541,0.2564,0.0530,0.2944,0.1305,0.0000,0.2288
low_friction,random_shooting,2,12,0.0000,0.0000,0.3129,0.0557,0.2621,0.0533,0.2852,0.1460,0.0000,0.2220
low_friction,random_shooting,3,12,0.0000,0.0000,0.3251,0.0386,0.2821,0.0423,0.1802,0.1164,0.0000,0.3220
low_friction,random_shooting,4,12,0.0000,0.0000,0.3126,0.0382,0.2568,0.0339,0.3071,0.1112,0.0000,0.2765
