split,method,episodes,success_rate,success_ci95,energy_mean,energy_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,normal_impulse_mean
combined_shift,cefv_full,60,0.2667,0.1128,0.1685,0.0178,0.1176,0.0159,0.6983,0.0420,0.0000,1.1625
combined_shift,geometry_mpc,60,0.2167,0.1051,0.1970,0.0197,0.1284,0.0182,0.6720,0.0475,0.0000,1.1462
combined_shift,oracle_embodiment_mpc,60,0.3667,0.1230,0.1415,0.0142,0.0978,0.0136,0.7487,0.0366,0.0000,1.1155
combined_shift,random_shooting,60,0.1000,0.0766,0.2870,0.0347,0.2209,0.0299,0.4379,0.0748,0.0167,1.2892
combined_shift,raw_force_scalar,60,0.1167,0.0819,0.2758,0.0364,0.2081,0.0290,0.4755,0.0701,0.0333,1.3071
combined_shift,robust_domain_randomized_mpc,60,0.2667,0.1128,0.1631,0.0150,0.1133,0.0137,0.7093,0.0373,0.0000,1.1542
combined_shift,source_action_transfer,60,0.2167,0.1051,0.1995,0.0205,0.1334,0.0197,0.6582,0.0510,0.0000,1.0901
heavy_object,cefv_full,60,0.2333,0.1079,0.1761,0.0154,0.1261,0.0144,0.6510,0.0389,0.0000,1.2315
heavy_object,geometry_mpc,60,0.0667,0.0637,0.2093,0.0125,0.1526,0.0155,0.5764,0.0425,0.0000,1.2382
heavy_object,oracle_embodiment_mpc,60,0.3500,0.1217,0.1534,0.0108,0.0990,0.0100,0.7247,0.0276,0.0000,1.1838
heavy_object,random_shooting,60,0.0500,0.0556,0.2747,0.0274,0.2146,0.0253,0.4126,0.0628,0.0000,1.2836
heavy_object,raw_force_scalar,60,0.0500,0.0556,0.2765,0.0315,0.2140,0.0258,0.4170,0.0625,0.0167,1.3413
heavy_object,robust_domain_randomized_mpc,60,0.3000,0.1169,0.1612,0.0119,0.1081,0.0105,0.7011,0.0276,0.0000,1.1986
heavy_object,source_action_transfer,60,0.1000,0.0766,0.1925,0.0133,0.1354,0.0126,0.6268,0.0324,0.0000,1.1775
heldout_high_gain,cefv_full,60,0.0000,0.0000,0.2427,0.0143,0.1851,0.0126,0.4785,0.0327,0.0000,0.5147
heldout_high_gain,geometry_mpc,60,0.0000,0.0000,0.2765,0.0127,0.2140,0.0163,0.3937,0.0462,0.0000,0.5551
heldout_high_gain,oracle_embodiment_mpc,60,0.0000,0.0000,0.2158,0.0119,0.1668,0.0112,0.5312,0.0275,0.0000,0.5410
heldout_high_gain,random_shooting,60,0.0000,0.0000,0.3848,0.0357,0.3151,0.0298,0.1207,0.0733,0.0167,0.5571
heldout_high_gain,raw_force_scalar,60,0.0000,0.0000,0.3502,0.0316,0.2837,0.0250,0.1965,0.0689,0.0333,0.5810
heldout_high_gain,robust_domain_randomized_mpc,60,0.0000,0.0000,0.2304,0.0133,0.1790,0.0125,0.4979,0.0295,0.0000,0.5010
heldout_high_gain,source_action_transfer,60,0.0000,0.0000,0.2678,0.0143,0.2063,0.0149,0.4228,0.0346,0.0000,0.5402
heldout_large_soft,cefv_full,60,0.4667,0.1273,0.1250,0.0080,0.0839,0.0072,0.7527,0.0225,0.0000,0.4507
heldout_large_soft,geometry_mpc,60,0.2000,0.1021,0.1579,0.0075,0.1042,0.0085,0.6955,0.0240,0.0000,0.4234
heldout_large_soft,oracle_embodiment_mpc,60,0.6500,0.1217,0.1153,0.0059,0.0705,0.0055,0.7915,0.0178,0.0000,0.4538
heldout_large_soft,random_shooting,60,0.1167,0.0819,0.2383,0.0228,0.1901,0.0213,0.4454,0.0596,0.0000,0.4807
heldout_large_soft,raw_force_scalar,60,0.1667,0.0951,0.2127,0.0227,0.1614,0.0208,0.5348,0.0552,0.0000,0.4693
heldout_large_soft,robust_domain_randomized_mpc,60,0.5167,0.1275,0.1234,0.0081,0.0819,0.0076,0.7585,0.0233,0.0000,0.4471
heldout_large_soft,source_action_transfer,60,0.2833,0.1150,0.1522,0.0097,0.1039,0.0091,0.6957,0.0274,0.0000,0.4514
heldout_small_radius,cefv_full,60,0.0500,0.0556,0.1566,0.0095,0.1122,0.0067,0.6735,0.0184,0.0000,0.3737
heldout_small_radius,geometry_mpc,60,0.1500,0.0911,0.1714,0.0122,0.1018,0.0076,0.7021,0.0226,0.0167,0.3480
heldout_small_radius,oracle_embodiment_mpc,60,0.2500,0.1105,0.1345,0.0111,0.0952,0.0089,0.7212,0.0274,0.0000,0.3522
heldout_small_radius,random_shooting,60,0.0500,0.0556,0.2549,0.0283,0.1925,0.0267,0.4484,0.0715,0.0167,0.3928
heldout_small_radius,raw_force_scalar,60,0.0667,0.0637,0.2642,0.0272,0.2089,0.0248,0.3939,0.0692,0.0167,0.3910
heldout_small_radius,robust_domain_randomized_mpc,60,0.0333,0.0458,0.1547,0.0087,0.1156,0.0067,0.6645,0.0175,0.0000,0.3744
heldout_small_radius,source_action_transfer,60,0.1000,0.0766,0.1702,0.0109,0.1193,0.0094,0.6503,0.0285,0.0000,0.3589
low_friction,cefv_full,60,0.1000,0.0766,0.1726,0.0108,0.1238,0.0096,0.6486,0.0291,0.0167,0.2249
low_friction,geometry_mpc,60,0.0333,0.0458,0.2250,0.0121,0.1568,0.0135,0.5566,0.0387,0.0167,0.2569
low_friction,oracle_embodiment_mpc,60,0.1333,0.0867,0.1637,0.0099,0.1235,0.0093,0.6493,0.0283,0.0000,0.2112
low_friction,random_shooting,60,0.0000,0.0000,0.3093,0.0198,0.2600,0.0196,0.2682,0.0551,0.0000,0.2502
low_friction,raw_force_scalar,60,0.0333,0.0458,0.2865,0.0246,0.2322,0.0255,0.3493,0.0664,0.0000,0.2472
low_friction,robust_domain_randomized_mpc,60,0.0833,0.0705,0.1686,0.0100,0.1262,0.0092,0.6419,0.0282,0.0000,0.2148
low_friction,source_action_transfer,60,0.0167,0.0327,0.2111,0.0126,0.1443,0.0116,0.5932,0.0315,0.0333,0.2340
nominal,cefv_full,60,0.2500,0.1105,0.1341,0.0082,0.0964,0.0069,0.7040,0.0198,0.0000,0.3913
nominal,geometry_mpc,60,0.0667,0.0637,0.1839,0.0079,0.1201,0.0086,0.6319,0.0229,0.0000,0.3705
nominal,oracle_embodiment_mpc,60,0.3500,0.1217,0.1274,0.0084,0.0902,0.0073,0.7238,0.0211,0.0000,0.3890
nominal,random_shooting,60,0.0167,0.0327,0.2570,0.0251,0.2027,0.0236,0.3729,0.0701,0.0000,0.4038
nominal,raw_force_scalar,60,0.0667,0.0637,0.2415,0.0269,0.1926,0.0232,0.4154,0.0637,0.0000,0.3944
nominal,robust_domain_randomized_mpc,60,0.2500,0.1105,0.1359,0.0083,0.0984,0.0078,0.6979,0.0218,0.0000,0.3987
nominal,source_action_transfer,60,0.1500,0.0911,0.1636,0.0126,0.1160,0.0100,0.6450,0.0279,0.0000,0.3689
