split,baseline,paired_episodes,success_delta_mean,success_delta_ci95,energy_improvement_mean,energy_improvement_ci95,distance_improvement_mean,distance_improvement_ci95,energy_ttest_p
combined_shift,random_shooting,60,0.1667,0.0951,0.1185,0.0299,0.1034,0.0270,0.0000
combined_shift,geometry_mpc,60,0.0500,0.1181,0.0285,0.0141,0.0108,0.0123,0.0002
combined_shift,source_action_transfer,60,0.0500,0.1085,0.0310,0.0157,0.0158,0.0127,0.0003
combined_shift,raw_force_scalar,60,0.1500,0.1124,0.1073,0.0319,0.0905,0.0252,0.0000
combined_shift,robust_domain_randomized_mpc,60,0.0000,0.0466,-0.0054,0.0080,-0.0043,0.0093,0.1882
combined_shift,oracle_embodiment_mpc,60,-0.1000,0.0896,-0.0270,0.0093,-0.0198,0.0086,0.0000
heavy_object,random_shooting,60,0.1833,0.1187,0.0986,0.0244,0.0885,0.0252,0.0000
heavy_object,geometry_mpc,60,0.1667,0.0951,0.0332,0.0115,0.0264,0.0152,0.0000
heavy_object,source_action_transfer,60,0.1333,0.0985,0.0164,0.0116,0.0093,0.0138,0.0077
heavy_object,raw_force_scalar,60,0.1833,0.1092,0.1004,0.0277,0.0879,0.0246,0.0000
heavy_object,robust_domain_randomized_mpc,60,-0.0667,0.0637,-0.0150,0.0091,-0.0180,0.0101,0.0021
heavy_object,oracle_embodiment_mpc,60,-0.1167,0.0942,-0.0227,0.0090,-0.0272,0.0109,0.0000
heldout_high_gain,random_shooting,60,0.0000,0.0000,0.1420,0.0342,0.1300,0.0291,0.0000
heldout_high_gain,geometry_mpc,60,0.0000,0.0000,0.0338,0.0119,0.0289,0.0145,0.0000
heldout_high_gain,source_action_transfer,60,0.0000,0.0000,0.0250,0.0115,0.0211,0.0139,0.0001
heldout_high_gain,raw_force_scalar,60,0.0000,0.0000,0.1075,0.0332,0.0986,0.0254,0.0000
heldout_high_gain,robust_domain_randomized_mpc,60,0.0000,0.0000,-0.0123,0.0093,-0.0061,0.0107,0.0122
heldout_high_gain,oracle_embodiment_mpc,60,0.0000,0.0000,-0.0269,0.0087,-0.0183,0.0092,0.0000
heldout_large_soft,random_shooting,60,0.3500,0.1460,0.1133,0.0218,0.1062,0.0206,0.0000
heldout_large_soft,geometry_mpc,60,0.2667,0.1671,0.0329,0.0094,0.0203,0.0113,0.0000
heldout_large_soft,source_action_transfer,60,0.1833,0.1435,0.0273,0.0097,0.0200,0.0102,0.0000
heldout_large_soft,raw_force_scalar,60,0.3000,0.1495,0.0877,0.0211,0.0775,0.0202,0.0000
heldout_large_soft,robust_domain_randomized_mpc,60,-0.0500,0.0725,-0.0016,0.0025,-0.0021,0.0048,0.2009
heldout_large_soft,oracle_embodiment_mpc,60,-0.1833,0.1092,-0.0097,0.0046,-0.0134,0.0059,0.0001
heldout_small_radius,random_shooting,60,0.0000,0.0466,0.0983,0.0265,0.0803,0.0249,0.0000
heldout_small_radius,geometry_mpc,60,-0.1000,0.1010,0.0148,0.0117,-0.0103,0.0089,0.0162
heldout_small_radius,source_action_transfer,60,-0.0500,0.0725,0.0136,0.0102,0.0072,0.0102,0.0112
heldout_small_radius,raw_force_scalar,60,-0.0167,0.0871,0.1075,0.0262,0.0967,0.0248,0.0000
heldout_small_radius,robust_domain_randomized_mpc,60,0.0167,0.0327,-0.0020,0.0049,0.0035,0.0039,0.4294
heldout_small_radius,oracle_embodiment_mpc,60,-0.2000,0.1021,-0.0222,0.0077,-0.0169,0.0081,0.0000
low_friction,random_shooting,60,0.1000,0.0766,0.1367,0.0203,0.1362,0.0207,0.0000
low_friction,geometry_mpc,60,0.0667,0.0916,0.0524,0.0089,0.0330,0.0128,0.0000
low_friction,source_action_transfer,60,0.0833,0.0705,0.0386,0.0109,0.0206,0.0100,0.0000
low_friction,raw_force_scalar,60,0.0667,0.0637,0.1140,0.0239,0.1084,0.0223,0.0000
low_friction,robust_domain_randomized_mpc,60,0.0167,0.0327,-0.0040,0.0059,0.0025,0.0039,0.1836
low_friction,oracle_embodiment_mpc,60,-0.0333,0.0458,-0.0089,0.0063,-0.0002,0.0045,0.0081
nominal,random_shooting,60,0.2333,0.1176,0.1229,0.0254,0.1063,0.0236,0.0000
nominal,geometry_mpc,60,0.1833,0.1187,0.0499,0.0079,0.0237,0.0100,0.0000
nominal,source_action_transfer,60,0.1000,0.1112,0.0296,0.0095,0.0196,0.0099,0.0000
nominal,raw_force_scalar,60,0.1833,0.1275,0.1074,0.0255,0.0962,0.0218,0.0000
nominal,robust_domain_randomized_mpc,60,0.0000,0.0659,0.0018,0.0036,0.0020,0.0050,0.3213
nominal,oracle_embodiment_mpc,60,-0.1000,0.0766,-0.0066,0.0038,-0.0062,0.0046,0.0012
