train_task,candidate,branch,object_mass,object_friction,angle_offset_deg,offset,distance,energy,success,progress,normal_impulse,tangent_impulse,contact_steps,yaw_abs,full_token
0,0,source_nominal,0.120000,0.650000,-38.000000,-0.026000,0.226534,0.191107,0.000000,0.653415,0.454030,0.288370,10,2.377102,0
0,1,source_nominal,0.120000,0.650000,-38.000000,-0.026000,0.302046,0.268775,0.000000,0.474400,0.523624,0.323496,11,3.067578,0
0,2,source_nominal,0.120000,0.650000,-38.000000,-0.026000,0.377557,0.331582,0.000000,0.221286,0.582793,0.292972,11,2.718564,0
0,3,source_nominal,0.120000,0.650000,-38.000000,0.000000,0.226534,0.345275,0.000000,-0.000081,0.336256,0.220142,12,1.359223,4
0,4,source_nominal,0.120000,0.650000,-38.000000,0.000000,0.302046,0.454335,0.000000,-0.301835,0.278045,0.154496,9,1.928132,4
0,5,source_nominal,0.120000,0.650000,-38.000000,0.000000,0.377557,0.566099,0.000000,-0.599175,0.326892,0.203713,10,2.610911,4
0,6,source_nominal,0.120000,0.650000,-38.000000,0.026000,0.226534,0.333510,0.000000,-0.042589,0.379039,0.274627,10,0.670352,4
0,7,source_nominal,0.120000,0.650000,-38.000000,0.026000,0.302046,0.429384,0.000000,-0.247298,0.474948,0.349246,9,1.667782,4
0,8,source_nominal,0.120000,0.650000,-38.000000,0.026000,0.377557,0.514905,0.000000,-0.508442,0.236585,0.155945,7,1.901142,4
0,9,source_nominal,0.120000,0.650000,-20.000000,-0.026000,0.226534,0.119442,1.000000,0.906039,0.174104,0.094765,11,2.425785,3
0,10,source_nominal,0.120000,0.650000,-20.000000,-0.026000,0.302046,0.153006,1.000000,0.865701,0.212181,0.111556,7,3.006877,3
0,11,source_nominal,0.120000,0.650000,-20.000000,-0.026000,0.377557,0.229030,0.000000,0.475115,0.520166,0.361216,9,1.894784,0
0,12,source_nominal,0.120000,0.650000,-20.000000,0.000000,0.226534,0.174269,0.000000,0.474887,0.251502,0.115756,11,0.414581,3
0,13,source_nominal,0.120000,0.650000,-20.000000,0.000000,0.302046,0.236819,0.000000,0.216654,0.241411,0.083182,11,0.015772,3
0,14,source_nominal,0.120000,0.650000,-20.000000,0.000000,0.377557,0.409413,0.000000,-0.306988,0.636328,0.365648,12,0.558726,1
0,15,source_nominal,0.120000,0.650000,-20.000000,0.026000,0.226534,0.276505,0.000000,0.328474,0.147242,0.070420,10,2.120693,3
0,16,source_nominal,0.120000,0.650000,-20.000000,0.026000,0.302046,0.348436,0.000000,0.205687,0.198490,0.097719,8,3.113837,3
0,17,source_nominal,0.120000,0.650000,-20.000000,0.026000,0.377557,0.374340,0.000000,0.043141,0.534741,0.397892,8,2.461990,1
0,18,source_nominal,0.120000,0.650000,0.000000,-0.026000,0.226534,0.176344,0.000000,0.601695,0.393929,0.267774,8,1.526118,0
0,19,source_nominal,0.120000,0.650000,0.000000,-0.026000,0.302046,0.244455,0.000000,0.410083,0.440990,0.306859,8,1.839006,0
0,20,source_nominal,0.120000,0.650000,0.000000,-0.026000,0.377557,0.309154,0.000000,0.193106,0.254887,0.118870,6,1.843938,3
0,21,source_nominal,0.120000,0.650000,0.000000,0.000000,0.226534,0.153358,0.000000,0.649552,0.161183,0.081793,12,1.266500,3
0,22,source_nominal,0.120000,0.650000,0.000000,0.000000,0.302046,0.274088,0.000000,0.289097,0.305140,0.179413,9,1.681749,3
0,23,source_nominal,0.120000,0.650000,0.000000,0.000000,0.377557,0.435763,0.000000,-0.234700,0.293686,0.178302,9,1.911431,9
0,24,source_nominal,0.120000,0.650000,0.000000,0.026000,0.226534,0.185399,0.000000,0.680319,0.552766,0.425542,13,2.437252,6
0,25,source_nominal,0.120000,0.650000,0.000000,0.026000,0.302046,0.274816,0.000000,0.447780,0.495741,0.314993,10,3.019278,6
0,26,source_nominal,0.120000,0.650000,0.000000,0.026000,0.377557,0.291542,0.000000,0.226214,0.467078,0.231352,11,1.615469,5
0,27,source_nominal,0.120000,0.650000,20.000000,-0.026000,0.226534,0.166376,0.000000,0.488453,0.248156,0.216889,11,0.301636,7
0,28,source_nominal,0.120000,0.650000,20.000000,-0.026000,0.302046,0.231042,0.000000,0.307669,0.337699,0.300389,13,0.605959,0
0,29,source_nominal,0.120000,0.650000,20.000000,-0.026000,0.377557,0.337383,0.000000,-0.006488,0.195449,0.186343,11,0.994252,7
0,30,source_nominal,0.120000,0.650000,20.000000,0.000000,0.226534,0.198219,0.000000,0.367635,0.217620,0.074839,9,0.208902,3
0,31,source_nominal,0.120000,0.650000,20.000000,0.000000,0.302046,0.307161,0.000000,0.002820,0.263717,0.103982,8,0.251153,3
0,32,source_nominal,0.120000,0.650000,20.000000,0.000000,0.377557,0.404420,0.000000,-0.320911,0.524387,0.295980,9,0.300546,5
0,33,source_nominal,0.120000,0.650000,20.000000,0.026000,0.226534,0.135406,0.000000,0.587109,0.157874,0.101092,10,0.235423,7
