model,token,count,mean_energy,std_energy,success_rate,feature_kind
rc_fev_v5,0,1366,0.246767,0.080182,0.087848,full
rc_fev_v5,1,1473,0.515471,0.136015,0.000000,full
rc_fev_v5,2,1115,0.282972,0.094573,0.058296,full
rc_fev_v5,3,1271,0.245006,0.077291,0.122738,full
rc_fev_v5,4,949,0.467302,0.111620,0.000000,full
rc_fev_v5,5,627,0.347242,0.111317,0.004785,full
rc_fev_v5,6,1246,0.247753,0.077376,0.094703,full
rc_fev_v5,7,916,0.240988,0.091899,0.045852,full
rc_fev_v5,8,905,0.466293,0.117533,0.000000,full
rc_fev_v5,9,932,0.433528,0.117548,0.000000,full
no_embodiment_normalization,0,884,0.377815,0.110259,0.000000,raw
no_embodiment_normalization,1,708,0.313995,0.092793,0.000000,raw
no_embodiment_normalization,2,1108,0.262422,0.099488,0.032491,raw
no_embodiment_normalization,3,1590,0.216440,0.070896,0.146541,raw
no_embodiment_normalization,4,1079,0.232883,0.074295,0.147359,raw
no_embodiment_normalization,5,1078,0.455359,0.110980,0.000000,raw
no_embodiment_normalization,6,945,0.480730,0.111552,0.000000,raw
no_embodiment_normalization,7,976,0.549619,0.151495,0.000000,raw
no_embodiment_normalization,8,1033,0.271127,0.091190,0.072604,raw
no_embodiment_normalization,9,1399,0.383000,0.111484,0.000715,raw
action_only_vocabulary,0,997,0.200032,0.072960,0.228686,action
action_only_vocabulary,1,2038,0.246888,0.092899,0.109912,action
action_only_vocabulary,2,1139,0.320085,0.102350,0.000878,action
action_only_vocabulary,3,690,0.277865,0.088893,0.000000,action
action_only_vocabulary,4,1010,0.327221,0.103703,0.038614,action
action_only_vocabulary,5,1053,0.324134,0.087100,0.000950,action
action_only_vocabulary,6,1013,0.501772,0.130921,0.000000,action
action_only_vocabulary,7,880,0.400712,0.079745,0.000000,action
action_only_vocabulary,8,590,0.561938,0.132310,0.000000,action
action_only_vocabulary,9,1390,0.443743,0.162560,0.007914,action
no_tangent_rotation_features,0,711,0.445847,0.116978,0.000000,masked
no_tangent_rotation_features,1,807,0.290083,0.081262,0.000000,masked
no_tangent_rotation_features,2,1591,0.221726,0.076345,0.131364,masked
no_tangent_rotation_features,3,1390,0.413752,0.109924,0.000000,masked
no_tangent_rotation_features,4,863,0.517683,0.135155,0.000000,masked
no_tangent_rotation_features,5,618,0.482046,0.122122,0.000000,masked
no_tangent_rotation_features,6,720,0.289313,0.078839,0.001389,masked
no_tangent_rotation_features,7,952,0.266884,0.092865,0.080882,masked
no_tangent_rotation_features,8,1028,0.504362,0.135409,0.000000,masked
no_tangent_rotation_features,9,2120,0.252577,0.085803,0.102358,masked
small_vocabulary_k4,0,2606,0.469471,0.129345,0.000000,full
small_vocabulary_k4,1,2566,0.250671,0.082911,0.082229,full
small_vocabulary_k4,2,2407,0.454712,0.123382,0.000000,full
small_vocabulary_k4,3,3221,0.241791,0.076585,0.090966,full
