split,baseline,paired_episodes,success_delta_mean,success_delta_boot_lo,success_delta_boot_hi,success_delta_ci95,success_signflip_p,energy_improvement_mean,energy_improvement_boot_lo,energy_improvement_boot_hi,energy_improvement_ci95,energy_signflip_p,regret_improvement_mean,distance_improvement_mean,distance_improvement_ci95,failure_delta_mean,failure_delta_ci95
heldout_large_soft,oracle_embodiment_mpc,160,-0.168750,-0.231250,-0.106250,0.069994,0.000244,-0.021495,-0.024939,-0.017932,0.003663,0.000244,-0.021495,-0.009050,0.005626,0.000000,0.000000
heldout_small_radius,random_shooting,160,0.656250,0.575000,0.731250,0.077810,0.000244,0.188512,0.161725,0.216655,0.026023,0.000244,0.188512,0.184483,0.022770,-0.043750,0.040185
heldout_small_radius,geometry_mpc,160,0.737500,0.668750,0.806250,0.068392,0.000244,0.174125,0.164073,0.184601,0.010571,0.000244,0.174125,0.188765,0.006838,0.012500,0.017270
heldout_small_radius,source_action_transfer,160,-0.025000,-0.106250,0.050000,0.075651,0.632658,-0.004185,-0.012480,0.003293,0.007678,0.313400,-0.004185,-0.006169,0.005978,0.012500,0.017270
heldout_small_radius,raw_force_scalar,160,0.606250,0.531094,0.687500,0.081692,0.000244,0.092552,0.077679,0.107240,0.014444,0.000244,0.092552,0.085682,0.012400,-0.031250,0.036544
heldout_small_radius,continuous_force_regression,160,0.225000,0.137500,0.300156,0.081420,0.000244,0.018685,0.010821,0.026131,0.007688,0.000244,0.018685,0.020183,0.007557,0.006250,0.012250
heldout_small_radius,robust_domain_randomized_mpc,160,0.012500,-0.018750,0.043750,0.030038,0.677325,-0.002443,-0.006845,0.000386,0.003926,0.205760,-0.002443,-0.000066,0.001963,0.006250,0.012250
heldout_small_radius,cvar_domain_randomized_mpc,160,0.031250,0.000000,0.068750,0.036544,0.189407,-0.000152,-0.002748,0.002546,0.002647,0.922382,-0.000152,0.002706,0.002964,0.000000,0.000000
heldout_small_radius,cefv_v4,160,0.200000,0.118750,0.287500,0.088272,0.000244,0.017678,0.007530,0.028015,0.009569,0.000488,0.017678,0.019247,0.007987,0.000000,0.024577
heldout_small_radius,rc_fev_no_online,160,0.018750,0.000000,0.043750,0.021084,0.252380,-0.000027,-0.001058,0.000980,0.001079,0.951672,-0.000027,0.001159,0.001563,0.000000,0.000000
heldout_small_radius,oracle_embodiment_mpc,160,-0.150000,-0.231250,-0.075000,0.078107,0.000732,-0.039440,-0.046908,-0.032721,0.007194,0.000244,-0.039440,-0.017796,0.005961,0.012500,0.017270
heldout_weak_actuator,random_shooting,160,0.531250,0.443750,0.612656,0.086757,0.000244,0.154713,0.137082,0.172373,0.017902,0.000244,0.154713,0.149465,0.017542,0.000000,0.000000
heldout_weak_actuator,geometry_mpc,160,0.612500,0.537500,0.681250,0.075726,0.000244,0.097576,0.090108,0.106348,0.008326,0.000244,0.097576,0.105763,0.006754,0.000000,0.000000
heldout_weak_actuator,source_action_transfer,160,0.068750,-0.031250,0.150000,0.088821,0.175250,0.010554,0.003904,0.017417,0.006851,0.003417,0.010554,0.005579,0.005564,0.000000,0.000000
heldout_weak_actuator,raw_force_scalar,160,0.506250,0.431250,0.581406,0.083339,0.000244,0.080698,0.066815,0.093732,0.013365,0.000244,0.080698,0.077189,0.012181,-0.018750,0.021084
heldout_weak_actuator,continuous_force_regression,160,0.175000,0.106250,0.250000,0.076840,0.000244,0.008500,0.000143,0.017331,0.008842,0.061020,0.008500,0.013173,0.006093,-0.006250,0.012250
heldout_weak_actuator,robust_domain_randomized_mpc,160,-0.025000,-0.056250,0.000000,0.029849,0.218697,-0.000866,-0.003677,0.001820,0.002649,0.543080,-0.000866,-0.001216,0.001819,0.000000,0.000000
heldout_weak_actuator,cvar_domain_randomized_mpc,160,-0.018750,-0.056250,0.018750,0.040652,0.538687,-0.001539,-0.004777,0.001337,0.003093,0.340981,-0.001539,-0.003219,0.002853,0.000000,0.000000
heldout_weak_actuator,cefv_v4,160,0.056250,-0.025000,0.131406,0.080105,0.226263,0.008859,0.001811,0.015173,0.006722,0.012204,0.008859,0.008396,0.005982,0.000000,0.000000
heldout_weak_actuator,rc_fev_no_online,160,-0.018750,-0.043750,0.000000,0.021084,0.254821,0.000021,-0.001102,0.001281,0.001145,0.935074,0.000021,-0.001338,0.001093,0.000000,0.000000
heldout_weak_actuator,oracle_embodiment_mpc,160,-0.168750,-0.250156,-0.075000,0.088991,0.000488,-0.038444,-0.044988,-0.032437,0.006119,0.000244,-0.038444,-0.016313,0.006011,0.000000,0.000000
high_friction,random_shooting,160,0.593750,0.506250,0.675000,0.083881,0.000244,0.203217,0.180606,0.228261,0.023841,0.000244,0.203217,0.202138,0.021641,-0.018750,0.021084
high_friction,geometry_mpc,160,0.662500,0.593750,0.731250,0.073500,0.000244,0.133922,0.123905,0.144992,0.011121,0.000244,0.133922,0.137255,0.009806,0.000000,0.000000
high_friction,source_action_transfer,160,0.087500,0.006094,0.175000,0.090947,0.080059,0.016171,0.007866,0.023291,0.007872,0.000244,0.016171,0.007828,0.006238,0.000000,0.000000
high_friction,raw_force_scalar,160,0.562500,0.481250,0.643750,0.082776,0.000244,0.098026,0.082722,0.112592,0.015113,0.000244,0.098026,0.093939,0.014207,0.000000,0.000000
high_friction,continuous_force_regression,160,0.212500,0.131250,0.300000,0.085822,0.000244,0.015311,0.008131,0.023267,0.008149,0.000488,0.015311,0.019735,0.006624,0.000000,0.000000
high_friction,robust_domain_randomized_mpc,160,0.037500,0.012500,0.075000,0.029531,0.032951,0.000936,-0.001292,0.003448,0.002449,0.476446,0.000936,0.002806,0.002080,0.000000,0.000000
high_friction,cvar_domain_randomized_mpc,160,-0.006250,-0.031250,0.018906,0.027461,1.000000,-0.000819,-0.003428,0.001523,0.002531,0.537222,-0.000819,-0.000188,0.002207,0.000000,0.000000
high_friction,cefv_v4,160,0.137500,0.043594,0.225000,0.089440,0.005370,0.018966,0.010888,0.027667,0.008249,0.000244,0.018966,0.014622,0.007401,-0.006250,0.012250
high_friction,rc_fev_no_online,160,0.006250,0.000000,0.018750,0.012250,1.000000,0.000226,-0.000450,0.001178,0.000854,0.730779,0.000226,0.000795,0.000980,0.000000,0.000000
high_friction,oracle_embodiment_mpc,160,-0.162500,-0.250000,-0.075000,0.088421,0.000976,-0.038618,-0.044994,-0.032622,0.005938,0.000244,-0.038618,-0.011917,0.005953,0.000000,0.000000
low_friction,random_shooting,160,0.525000,0.450000,0.593750,0.077622,0.000244,0.217944,0.195347,0.241633,0.022865,0.000244,0.217944,0.209107,0.019418,-0.025000,0.029849
low_friction,geometry_mpc,160,0.531250,0.456250,0.606250,0.077567,0.000244,0.189341,0.180682,0.198595,0.009310,0.000244,0.189341,0.195852,0.008045,0.006250,0.012250
low_friction,source_action_transfer,160,-0.081250,-0.181250,0.012500,0.093541,0.117891,0.005222,-0.000934,0.011009,0.006048,0.092751,0.005222,-0.006114,0.007374,0.000000,0.017379
low_friction,raw_force_scalar,160,0.500000,0.412500,0.581250,0.085137,0.000244,0.111751,0.098993,0.124066,0.013301,0.000244,0.111751,0.105891,0.012656,-0.025000,0.029849
low_friction,continuous_force_regression,160,0.218750,0.131250,0.306250,0.088052,0.000244,0.026241,0.018696,0.033818,0.007587,0.000244,0.026241,0.025929,0.008477,-0.006250,0.021262
low_friction,robust_domain_randomized_mpc,160,0.018750,-0.012500,0.050000,0.032381,0.441787,0.001026,-0.000461,0.002564,0.001622,0.231877,0.001026,0.002750,0.003025,0.000000,0.000000
low_friction,cvar_domain_randomized_mpc,160,0.006250,-0.025000,0.037500,0.032498,1.000000,-0.000501,-0.002391,0.001230,0.001770,0.613132,-0.000501,-0.000045,0.003165,0.000000,0.000000
low_friction,cefv_v4,160,0.093750,0.000000,0.175000,0.089961,0.055650,0.019651,0.012058,0.027803,0.008156,0.000244,0.019651,0.009824,0.008394,-0.006250,0.021262
low_friction,rc_fev_no_online,160,0.000000,-0.018750,0.018750,0.017379,1.000000,0.000489,-0.000003,0.001127,0.000569,0.260679,0.000489,-0.000044,0.001327,0.000000,0.000000
low_friction,oracle_embodiment_mpc,160,-0.125000,-0.206250,-0.037500,0.088186,0.006834,-0.021092,-0.025362,-0.016296,0.004825,0.000244,-0.021092,-0.015017,0.007026,0.006250,0.012250
nominal,random_shooting,160,0.650000,0.575000,0.725000,0.081882,0.000244,0.191990,0.173867,0.211176,0.019206,0.000244,0.191990,0.184410,0.018669,0.000000,0.017379
nominal,geometry_mpc,160,0.725000,0.656250,0.800000,0.069405,0.000244,0.167099,0.159832,0.174571,0.007692,0.000244,0.167099,0.169721,0.007593,0.006250,0.012250
nominal,source_action_transfer,160,0.006250,-0.075000,0.093750,0.089456,1.000000,0.004659,-0.000202,0.008767,0.004433,0.043202,0.004659,-0.002268,0.007481,0.006250,0.012250
nominal,raw_force_scalar,160,0.556250,0.468750,0.631406,0.084687,0.000244,0.091312,0.079957,0.103864,0.012032,0.000244,0.091312,0.082356,0.011587,-0.012500,0.024500
nominal,continuous_force_regression,160,0.175000,0.087500,0.262500,0.087843,0.000488,0.015469,0.009122,0.021599,0.006335,0.000244,0.015469,0.021478,0.007954,0.006250,0.012250
nominal,robust_domain_randomized_mpc,160,0.006250,-0.037500,0.056250,0.044296,1.000000,0.001065,-0.000732,0.003205,0.002018,0.321943,0.001065,0.000876,0.003728,0.000000,0.000000
nominal,cvar_domain_randomized_mpc,160,0.037500,-0.006250,0.081250,0.042168,0.150110,0.000253,-0.000713,0.001187,0.000987,0.636807,0.000253,0.003919,0.003693,0.000000,0.000000
nominal,cefv_v4,160,0.162500,0.075000,0.250000,0.091774,0.000732,0.021870,0.013506,0.029995,0.008164,0.000244,0.021870,0.022406,0.009862,-0.006250,0.021262
nominal,rc_fev_no_online,160,-0.012500,-0.037500,0.012500,0.024500,0.639004,-0.000275,-0.001280,0.000517,0.000881,0.631682,-0.000275,-0.000810,0.002164,0.000000,0.000000
nominal,oracle_embodiment_mpc,160,-0.156250,-0.231250,-0.081250,0.074842,0.000244,-0.015427,-0.019192,-0.012016,0.003721,0.000244,-0.015427,-0.014869,0.005865,0.006250,0.012250
