split,baseline,paired_episodes,success_delta_mean,success_delta_boot_lo,success_delta_boot_hi,success_delta_ci95,success_signflip_p,energy_improvement_mean,energy_improvement_boot_lo,energy_improvement_boot_hi,energy_improvement_ci95,energy_signflip_p,regret_improvement_mean,distance_improvement_mean,distance_improvement_ci95,failure_delta_mean,failure_delta_ci95
actuation_noise,random_shooting,160,0.443750,0.368750,0.518750,0.077226,0.000244,0.193118,0.170683,0.218775,0.023562,0.000244,0.193118,0.177790,0.019899,-0.031250,0.032147
actuation_noise,geometry_mpc,160,0.468750,0.393750,0.543750,0.077567,0.000244,0.217867,0.196965,0.240161,0.022146,0.000244,0.217867,0.200507,0.014633,-0.068750,0.042999
actuation_noise,source_action_transfer,160,0.100000,0.000000,0.193906,0.095503,0.057115,0.014783,0.004407,0.025337,0.010753,0.006102,0.014783,0.005554,0.010785,0.006250,0.012250
actuation_noise,raw_force_scalar,160,0.406250,0.325000,0.487500,0.080199,0.000244,0.143214,0.122979,0.164603,0.021343,0.000244,0.143214,0.125952,0.015764,-0.050000,0.038074
actuation_noise,continuous_force_regression,160,0.162500,0.062500,0.262500,0.096584,0.002685,0.032545,0.019720,0.045826,0.012722,0.000244,0.032545,0.033598,0.012525,0.006250,0.012250
actuation_noise,robust_domain_randomized_mpc,160,0.037500,0.000000,0.081250,0.042168,0.152551,0.002855,-0.000047,0.006226,0.003211,0.078350,0.002855,0.004874,0.004020,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,160,-0.012500,-0.056250,0.031250,0.042524,0.775201,0.000657,-0.003267,0.004710,0.004093,0.759092,0.000657,-0.000674,0.004867,0.000000,0.000000
actuation_noise,cefv_v4,160,0.137500,0.056094,0.218750,0.082411,0.002685,0.024115,0.015317,0.033300,0.009128,0.000244,0.024115,0.020140,0.010400,0.000000,0.000000
actuation_noise,rc_fev_no_online,160,0.006250,0.000000,0.018750,0.012250,1.000000,0.000591,0.000000,0.001772,0.001157,1.000000,0.000591,0.000621,0.001217,0.000000,0.000000
actuation_noise,oracle_embodiment_mpc,160,-0.268750,-0.350000,-0.187500,0.082839,0.000244,-0.043339,-0.051081,-0.036459,0.007324,0.000244,-0.043339,-0.034028,0.007828,0.006250,0.012250
combined_shift,random_shooting,160,0.268750,0.193750,0.350000,0.079109,0.000244,0.158805,0.132436,0.183982,0.025654,0.000244,0.158805,0.154033,0.022550,-0.018750,0.027323
combined_shift,geometry_mpc,160,0.337500,0.262500,0.412656,0.075527,0.000244,0.169691,0.150371,0.191074,0.020086,0.000244,0.169691,0.158914,0.014143,-0.037500,0.034265
combined_shift,source_action_transfer,160,-0.006250,-0.093750,0.081250,0.087752,1.000000,0.011048,0.002025,0.021562,0.010250,0.041250,0.011048,0.001747,0.009320,0.006250,0.012250
combined_shift,raw_force_scalar,160,0.237500,0.156250,0.312656,0.082411,0.000244,0.089694,0.069173,0.108190,0.020023,0.000244,0.089694,0.082397,0.015655,-0.037500,0.034265
combined_shift,continuous_force_regression,160,0.093750,0.018750,0.175000,0.084776,0.048328,0.013180,0.000731,0.025813,0.011961,0.033195,0.013180,0.014109,0.009980,0.000000,0.017379
combined_shift,robust_domain_randomized_mpc,160,0.000000,-0.043750,0.043750,0.042568,1.000000,0.000525,-0.002763,0.003779,0.003288,0.758604,0.000525,0.000857,0.003012,0.000000,0.000000
combined_shift,cvar_domain_randomized_mpc,160,-0.018750,-0.050000,0.012500,0.032381,0.452770,0.000535,-0.002269,0.003234,0.002815,0.723456,0.000535,-0.000673,0.003163,0.000000,0.000000
combined_shift,cefv_v4,160,0.012500,-0.056250,0.081406,0.069487,0.855748,0.004337,-0.006002,0.013835,0.009343,0.377105,0.004337,0.003166,0.008971,-0.006250,0.012250
combined_shift,rc_fev_no_online,160,0.000000,-0.018750,0.018750,0.017379,1.000000,-0.000668,-0.002302,0.000713,0.001490,0.426410,-0.000668,-0.000207,0.001443,0.000000,0.000000
combined_shift,oracle_embodiment_mpc,160,-0.381250,-0.468906,-0.287500,0.088395,0.000244,-0.073243,-0.084511,-0.063100,0.010760,0.000244,-0.073243,-0.048120,0.009209,0.006250,0.012250
heavy_object,random_shooting,160,0.543750,0.468750,0.618750,0.079347,0.000244,0.211020,0.188211,0.234631,0.023520,0.000244,0.211020,0.199254,0.021350,-0.018750,0.021084
heavy_object,geometry_mpc,160,0.587500,0.512500,0.668750,0.076520,0.000244,0.190794,0.179700,0.201983,0.010972,0.000244,0.190794,0.184419,0.010183,0.000000,0.000000
heavy_object,source_action_transfer,160,-0.025000,-0.118750,0.062500,0.091876,0.684647,0.012438,0.006846,0.018200,0.005895,0.000244,0.012438,0.001063,0.008101,0.000000,0.000000
heavy_object,raw_force_scalar,160,0.518750,0.431250,0.600000,0.085087,0.000244,0.101314,0.089136,0.113356,0.011646,0.000244,0.101314,0.092541,0.012720,0.000000,0.000000
heavy_object,continuous_force_regression,160,0.225000,0.137500,0.300000,0.083254,0.000244,0.015932,0.009609,0.022229,0.006487,0.000244,0.015932,0.021617,0.007558,0.000000,0.000000
heavy_object,robust_domain_randomized_mpc,160,0.012500,-0.018750,0.043750,0.030038,0.697584,0.000312,-0.000856,0.001511,0.001234,0.640469,0.000312,0.001636,0.002463,0.000000,0.000000
heavy_object,cvar_domain_randomized_mpc,160,0.031250,-0.006250,0.068750,0.036544,0.185746,0.000993,-0.000492,0.002547,0.001421,0.175250,0.000993,0.002776,0.003079,0.000000,0.000000
heavy_object,cefv_v4,160,0.168750,0.081250,0.262656,0.092322,0.000488,0.014388,0.008177,0.020803,0.006587,0.000244,0.014388,0.017512,0.008686,0.000000,0.000000
heavy_object,rc_fev_no_online,160,-0.006250,-0.025000,0.012500,0.021262,1.000000,0.000171,-0.000275,0.000603,0.000428,0.440810,0.000171,-0.000333,0.001768,0.000000,0.000000
heavy_object,oracle_embodiment_mpc,160,-0.200000,-0.281250,-0.106250,0.088272,0.000244,-0.026586,-0.030902,-0.022052,0.004676,0.000244,-0.026586,-0.019098,0.007676,0.000000,0.000000
heldout_high_gain,random_shooting,160,0.306250,0.231250,0.387500,0.075745,0.000244,0.241594,0.213148,0.273868,0.029508,0.000244,0.241594,0.217564,0.023207,-0.025000,0.051991
heldout_high_gain,geometry_mpc,160,0.337500,0.262500,0.412500,0.073500,0.000244,0.274236,0.259288,0.289984,0.015248,0.000244,0.274236,0.253599,0.009689,-0.012500,0.049115
heldout_high_gain,source_action_transfer,160,-0.075000,-0.156250,0.006250,0.084335,0.111545,0.008911,-0.000095,0.018079,0.009132,0.057847,0.008911,-0.000982,0.011139,0.056250,0.035814
heldout_high_gain,raw_force_scalar,160,0.312500,0.237500,0.393750,0.076124,0.000244,0.134708,0.116665,0.156242,0.019440,0.000244,0.134708,0.127253,0.015127,0.006250,0.040745
heldout_high_gain,continuous_force_regression,160,0.137500,0.056250,0.218750,0.085997,0.004393,0.021632,0.012036,0.031752,0.009872,0.000244,0.021632,0.030053,0.011700,0.031250,0.027045
heldout_high_gain,robust_domain_randomized_mpc,160,0.025000,-0.012500,0.062500,0.038665,0.339029,0.004571,-0.000470,0.010181,0.005407,0.096412,0.004571,0.004645,0.005910,0.000000,0.000000
heldout_high_gain,cvar_domain_randomized_mpc,160,0.037500,0.006250,0.075000,0.034265,0.065414,0.001714,-0.001891,0.005084,0.003703,0.380766,0.001714,0.004493,0.005528,0.000000,0.000000
heldout_high_gain,cefv_v4,160,0.075000,-0.006406,0.162500,0.082525,0.097388,0.011516,0.002483,0.020536,0.009209,0.015377,0.011516,0.012469,0.011246,0.037500,0.034265
heldout_high_gain,rc_fev_no_online,160,0.006250,-0.012500,0.031250,0.021262,1.000000,-0.000485,-0.004311,0.002489,0.003238,0.752014,-0.000485,-0.000769,0.003448,0.000000,0.000000
heldout_high_gain,oracle_embodiment_mpc,160,-0.162500,-0.243750,-0.081250,0.079425,0.000488,-0.035198,-0.042122,-0.028239,0.007151,0.000244,-0.035198,-0.025969,0.009258,0.056250,0.035814
heldout_large_soft,random_shooting,160,0.725000,0.650000,0.793906,0.071548,0.000244,0.196264,0.179177,0.214978,0.017806,0.000244,0.196264,0.192304,0.017987,0.000000,0.000000
heldout_large_soft,geometry_mpc,160,0.775000,0.706250,0.837500,0.064908,0.000244,0.136565,0.131601,0.141649,0.005066,0.000244,0.136565,0.143531,0.006252,0.000000,0.000000
heldout_large_soft,source_action_transfer,160,0.162500,0.068750,0.250000,0.093404,0.001709,0.010643,0.006896,0.014587,0.003803,0.000244,0.010643,0.012787,0.008132,0.000000,0.000000
heldout_large_soft,raw_force_scalar,160,0.668750,0.599844,0.750000,0.079109,0.000244,0.092061,0.081407,0.102963,0.011111,0.000244,0.092061,0.093595,0.011651,0.000000,0.000000
heldout_large_soft,continuous_force_regression,160,0.225000,0.149844,0.300156,0.081420,0.000244,0.011006,0.005442,0.017073,0.005722,0.000488,0.011006,0.020362,0.007005,0.000000,0.000000
heldout_large_soft,robust_domain_randomized_mpc,160,0.031250,-0.006250,0.081250,0.044040,0.256285,0.000433,-0.000955,0.001870,0.001389,0.544789,0.000433,0.002369,0.003332,0.000000,0.000000
heldout_large_soft,cvar_domain_randomized_mpc,160,0.050000,0.006250,0.100000,0.048536,0.080547,0.001034,-0.000529,0.002800,0.001707,0.241884,0.001034,0.003706,0.003835,0.000000,0.000000
heldout_large_soft,cefv_v4,160,0.212500,0.137500,0.287500,0.082227,0.000244,0.018881,0.012578,0.025404,0.006354,0.000244,0.018881,0.023114,0.008794,0.000000,0.000000
heldout_large_soft,rc_fev_no_online,160,-0.006250,-0.037500,0.025000,0.032498,1.000000,-0.000356,-0.001067,0.000322,0.000752,0.354650,-0.000356,-0.000547,0.002279,0.000000,0.000000
