variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5995,0.0181,0.4005,0.0181,0.0186,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4029,0.0090,0.5971,0.0090,0.0084,7,600
observed_only_behavior_clone,embodiment_shift,0.4362,0.0121,0.5638,0.0121,0.0153,7,600
observed_only_behavior_clone,combined_stress,0.3224,0.0144,0.6776,0.0144,0.0149,7,600
data_augmentation_wam,nominal,0.6424,0.0142,0.3576,0.0142,0.0154,7,600
data_augmentation_wam,hidden_mode_shift,0.4912,0.0188,0.5088,0.0188,0.0155,7,600
data_augmentation_wam,embodiment_shift,0.5200,0.0108,0.4800,0.0108,0.0081,7,600
data_augmentation_wam,combined_stress,0.4357,0.0055,0.5643,0.0055,0.0160,7,600
scalar_uncertainty_planner,nominal,0.6936,0.0077,0.3064,0.0077,0.0111,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5674,0.0291,0.4326,0.0291,0.0293,7,600
scalar_uncertainty_planner,embodiment_shift,0.5993,0.0062,0.4007,0.0062,0.0154,7,600
scalar_uncertainty_planner,combined_stress,0.5071,0.0139,0.4929,0.0139,0.0128,7,600
ensemble_disagreement_planner,nominal,0.6998,0.0140,0.3002,0.0140,0.0184,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.5943,0.0096,0.4057,0.0096,0.0097,7,600
ensemble_disagreement_planner,embodiment_shift,0.6233,0.0114,0.3767,0.0114,0.0160,7,600
ensemble_disagreement_planner,combined_stress,0.5548,0.0135,0.4452,0.0135,0.0199,7,600
conformal_risk_filter,nominal,0.7074,0.0189,0.2926,0.0189,0.0165,7,600
conformal_risk_filter,hidden_mode_shift,0.6131,0.0135,0.3869,0.0135,0.0139,7,600
conformal_risk_filter,embodiment_shift,0.6276,0.0096,0.3724,0.0096,0.0066,7,600
conformal_risk_filter,combined_stress,0.5617,0.0103,0.4383,0.0103,0.0142,7,600
proposed_branch_mechanism,nominal,0.7662,0.0100,0.2338,0.0100,0.0092,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6902,0.0132,0.3098,0.0132,0.0150,7,600
proposed_branch_mechanism,embodiment_shift,0.7081,0.0079,0.2919,0.0079,0.0096,7,600
proposed_branch_mechanism,combined_stress,0.6783,0.0214,0.3217,0.0214,0.0229,7,600
oracle_branch_upper_bound,nominal,0.8200,0.0062,0.1800,0.0062,0.0094,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7643,0.0164,0.2357,0.0164,0.0154,7,600
oracle_branch_upper_bound,embodiment_shift,0.7729,0.0147,0.2271,0.0147,0.0113,7,600
oracle_branch_upper_bound,combined_stress,0.7476,0.0144,0.2524,0.0144,0.0163,7,600
