split,method,seed,episodes,success_rate,success_ci95,energy_mean,energy_ci95,energy_regret_mean,energy_regret_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,failure_ci95,normal_impulse_mean,token_uncertainty_mean,robust_anchor_weight_mean
actuation_noise,cefv_v4,0,20,0.400000,0.220285,0.176860,0.021635,0.064391,0.025431,0.100215,0.027092,0.742082,0.068211,0.000000,0.000000,0.469962,0.010696,0.000000
actuation_noise,cefv_v4,1,20,0.200000,0.179862,0.174760,0.025995,0.069356,0.025548,0.122826,0.025896,0.694144,0.056699,0.000000,0.000000,0.472396,0.017420,0.000000
actuation_noise,cefv_v4,2,20,0.250000,0.194706,0.198946,0.037107,0.088567,0.033525,0.125224,0.028998,0.672428,0.074433,0.050000,0.098000,0.392690,0.015781,0.000000
actuation_noise,cefv_v4,3,20,0.350000,0.214472,0.202771,0.027830,0.083490,0.024563,0.125485,0.030338,0.676118,0.078848,0.000000,0.000000,0.467147,0.013138,0.000000
actuation_noise,cefv_v4,4,20,0.350000,0.214472,0.149479,0.020132,0.037739,0.015881,0.098395,0.022162,0.713244,0.072172,0.000000,0.000000,0.441175,0.017301,0.000000
actuation_noise,cefv_v4,5,20,0.300000,0.206058,0.182018,0.032399,0.081469,0.021869,0.124302,0.034634,0.677183,0.092477,0.000000,0.000000,0.492992,0.012848,0.000000
actuation_noise,cefv_v4,6,20,0.400000,0.220285,0.190513,0.021436,0.071612,0.028867,0.099798,0.024037,0.722933,0.068718,0.000000,0.000000,0.499304,0.012886,0.000000
actuation_noise,cefv_v4,7,20,0.400000,0.220285,0.148273,0.020274,0.043007,0.018895,0.098173,0.023427,0.740427,0.063586,0.000000,0.000000,0.493871,0.014687,0.000000
actuation_noise,continuous_force_regression,0,20,0.350000,0.214472,0.194206,0.040790,0.081737,0.037943,0.130023,0.043276,0.673045,0.099058,0.000000,0.000000,0.532729,0.000000,0.000000
actuation_noise,continuous_force_regression,1,20,0.450000,0.223700,0.176212,0.036388,0.070808,0.034338,0.121242,0.037599,0.697692,0.087655,0.000000,0.000000,0.459657,0.000000,0.000000
actuation_noise,continuous_force_regression,2,20,0.350000,0.214472,0.180336,0.034595,0.069957,0.029451,0.117816,0.030341,0.689969,0.076242,0.000000,0.000000,0.496225,0.000000,0.000000
actuation_noise,continuous_force_regression,3,20,0.200000,0.179862,0.205565,0.044103,0.086283,0.035991,0.144403,0.042276,0.627413,0.103120,0.000000,0.000000,0.437740,0.000000,0.000000
actuation_noise,continuous_force_regression,4,20,0.150000,0.160559,0.179081,0.025803,0.067340,0.024551,0.117905,0.021920,0.663384,0.066880,0.000000,0.000000,0.496785,0.000000,0.000000
actuation_noise,continuous_force_regression,5,20,0.400000,0.220285,0.180112,0.035211,0.079564,0.027934,0.116304,0.034742,0.705275,0.089247,0.000000,0.000000,0.529073,0.000000,0.000000
actuation_noise,continuous_force_regression,6,20,0.400000,0.220285,0.184205,0.033860,0.065303,0.028867,0.111646,0.031611,0.685489,0.097845,0.000000,0.000000,0.434973,0.000000,0.000000
actuation_noise,continuous_force_regression,7,20,0.150000,0.160559,0.191346,0.033719,0.086080,0.029074,0.142745,0.032624,0.629367,0.082903,0.000000,0.000000,0.537884,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,0,20,0.500000,0.224827,0.151619,0.020680,0.039149,0.018425,0.082090,0.020204,0.789032,0.052013,0.000000,0.000000,0.497435,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,1,20,0.550000,0.223700,0.135816,0.016444,0.030412,0.015836,0.078515,0.021089,0.800839,0.054087,0.000000,0.000000,0.489664,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,2,20,0.450000,0.223700,0.180976,0.037024,0.070597,0.030922,0.112713,0.031176,0.697587,0.086565,0.050000,0.098000,0.470766,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,3,20,0.400000,0.220285,0.162772,0.022614,0.043490,0.019017,0.101325,0.027429,0.739198,0.066787,0.000000,0.000000,0.375539,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,4,20,0.600000,0.220285,0.145528,0.016831,0.033787,0.016738,0.069368,0.015896,0.802547,0.047470,0.000000,0.000000,0.445214,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,5,20,0.500000,0.224827,0.150759,0.024297,0.050210,0.018790,0.079620,0.027549,0.796480,0.066937,0.000000,0.000000,0.457640,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,6,20,0.450000,0.223700,0.147205,0.019862,0.028303,0.013472,0.089969,0.022528,0.750454,0.064243,0.000000,0.000000,0.385357,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,7,20,0.400000,0.220285,0.161279,0.030736,0.056012,0.024339,0.114306,0.032395,0.710174,0.071398,0.000000,0.000000,0.561271,0.000000,0.000000
actuation_noise,geometry_mpc,0,20,0.000000,0.000000,0.396665,0.075002,0.284196,0.070352,0.316184,0.055381,0.187694,0.136450,0.100000,0.134896,0.692647,0.000000,0.000000
actuation_noise,geometry_mpc,1,20,0.000000,0.000000,0.396563,0.088613,0.291159,0.084015,0.288838,0.054326,0.282431,0.119250,0.200000,0.179862,0.597470,0.000000,0.000000
actuation_noise,geometry_mpc,2,20,0.000000,0.000000,0.393008,0.073075,0.282628,0.064613,0.304133,0.041760,0.198378,0.101623,0.100000,0.134896,0.630858,0.000000,0.000000
actuation_noise,geometry_mpc,3,20,0.000000,0.000000,0.392204,0.069294,0.272922,0.063491,0.304526,0.046534,0.203360,0.116989,0.100000,0.134896,0.642674,0.000000,0.000000
actuation_noise,geometry_mpc,4,20,0.000000,0.000000,0.341051,0.029456,0.229310,0.032458,0.271212,0.026359,0.233283,0.081424,0.000000,0.000000,0.616424,0.000000,0.000000
actuation_noise,geometry_mpc,5,20,0.000000,0.000000,0.344579,0.066949,0.244031,0.056911,0.277540,0.046660,0.279776,0.116684,0.050000,0.098000,0.766811,0.000000,0.000000
actuation_noise,geometry_mpc,6,20,0.000000,0.000000,0.356513,0.070473,0.237612,0.068299,0.279880,0.047357,0.225200,0.126957,0.050000,0.098000,0.700817,0.000000,0.000000
actuation_noise,geometry_mpc,7,20,0.000000,0.000000,0.353054,0.036728,0.247788,0.029520,0.295044,0.034045,0.234550,0.082637,0.000000,0.000000,0.809648,0.000000,0.000000
