split,method,episodes,success_rate,success_ci95,energy_mean,energy_ci95,energy_regret_mean,energy_regret_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,failure_ci95,normal_impulse_mean,token_uncertainty_mean,robust_anchor_weight_mean
actuation_noise,cefv_v4,160,0.331250,0.073159,0.177953,0.009634,0.067454,0.009010,0.111802,0.009657,0.704820,0.025439,0.006250,0.012250,0.466192,0.014345,0.000000
actuation_noise,continuous_force_regression,160,0.306250,0.071647,0.186383,0.012499,0.075884,0.010894,0.125260,0.012200,0.671454,0.030936,0.000000,0.000000,0.490633,0.000000,0.000000
actuation_noise,cvar_domain_randomized_mpc,160,0.481250,0.077664,0.154494,0.008694,0.043995,0.007341,0.090988,0.009098,0.760789,0.023215,0.006250,0.012250,0.460361,0.000000,0.000000
actuation_noise,geometry_mpc,160,0.000000,0.000000,0.371705,0.023243,0.261206,0.021472,0.292169,0.015720,0.230584,0.038999,0.075000,0.040941,0.682168,0.000000,0.000000
actuation_noise,oracle_embodiment_mpc,160,0.737500,0.068392,0.110499,0.005534,0.000000,0.000000,0.057634,0.005376,0.846593,0.014569,0.000000,0.000000,0.472949,0.000000,0.000000
actuation_noise,random_shooting,160,0.025000,0.024268,0.346956,0.024685,0.236457,0.023756,0.269452,0.020731,0.288734,0.054073,0.037500,0.029531,0.536232,0.000000,0.000000
actuation_noise,raw_force_scalar,160,0.062500,0.037626,0.297052,0.022669,0.186553,0.021136,0.217614,0.017521,0.430814,0.042717,0.056250,0.035814,0.476453,0.000000,0.000000
actuation_noise,rc_fev_no_online,160,0.462500,0.077500,0.154428,0.008778,0.043929,0.007332,0.092283,0.009002,0.757751,0.022695,0.006250,0.012250,0.460317,0.105850,0.534646
actuation_noise,rc_fev_v5,160,0.468750,0.077567,0.153838,0.008790,0.043339,0.007324,0.091662,0.009058,0.759438,0.022843,0.006250,0.012250,0.460389,0.108427,0.458507
actuation_noise,robust_domain_randomized_mpc,160,0.431250,0.076981,0.156692,0.008822,0.046193,0.007575,0.096536,0.009190,0.746804,0.023075,0.006250,0.012250,0.459283,0.000000,0.000000
actuation_noise,source_action_transfer,160,0.368750,0.074994,0.168620,0.008213,0.058121,0.008812,0.097216,0.008339,0.745698,0.021755,0.000000,0.000000,0.466691,0.000000,0.000000
combined_shift,cefv_v4,160,0.331250,0.073159,0.180548,0.011142,0.077580,0.010650,0.110905,0.009536,0.727383,0.023070,0.012500,0.017270,0.884845,0.015086,0.000000
combined_shift,continuous_force_regression,160,0.250000,0.067307,0.189390,0.012506,0.086422,0.011610,0.121849,0.010998,0.699181,0.026617,0.006250,0.012250,0.878550,0.000000,0.000000
combined_shift,cvar_domain_randomized_mpc,160,0.362500,0.074723,0.176746,0.011875,0.073778,0.010819,0.107066,0.010456,0.737854,0.024746,0.006250,0.012250,0.885704,0.000000,0.000000
