split,method,episodes,success_rate,success_ci95,energy_mean,energy_ci95,energy_regret_mean,energy_regret_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,failure_ci95,normal_impulse_mean,token_uncertainty_mean,robust_anchor_weight_mean
combined_shift,geometry_mpc,160,0.006250,0.012250,0.345902,0.020986,0.242934,0.018490,0.266654,0.014871,0.341150,0.035935,0.043750,0.031793,1.438076,0.000000,0.000000
combined_shift,oracle_embodiment_mpc,160,0.725000,0.069405,0.102967,0.006128,0.000000,0.000000,0.059620,0.006241,0.850840,0.015972,0.000000,0.000000,1.041653,0.000000,0.000000
combined_shift,random_shooting,160,0.075000,0.040941,0.335015,0.025136,0.232048,0.023311,0.261773,0.021995,0.349677,0.055840,0.025000,0.024268,1.132853,0.000000,0.000000
combined_shift,raw_force_scalar,160,0.106250,0.047899,0.265904,0.021719,0.162937,0.019582,0.190137,0.017493,0.536733,0.040122,0.043750,0.031793,0.776776,0.000000,0.000000
combined_shift,rc_fev_no_online,160,0.343750,0.073827,0.175542,0.011760,0.072575,0.010731,0.107533,0.010514,0.736453,0.024832,0.006250,0.012250,0.878194,0.105556,0.534191
combined_shift,rc_fev_v5,160,0.343750,0.073827,0.176210,0.011773,0.073243,0.010760,0.107740,0.010532,0.735730,0.024943,0.006250,0.012250,0.884911,0.109383,0.459560
combined_shift,robust_domain_randomized_mpc,160,0.343750,0.073827,0.176736,0.011738,0.073768,0.010639,0.108597,0.010558,0.733576,0.025003,0.006250,0.012250,0.870394,0.000000,0.000000
combined_shift,source_action_transfer,160,0.350000,0.074139,0.187258,0.010049,0.084291,0.010369,0.109486,0.009979,0.733409,0.022774,0.000000,0.000000,0.851774,0.000000,0.000000
heavy_object,cefv_v4,160,0.418750,0.076686,0.144018,0.006806,0.040974,0.006649,0.086598,0.007327,0.758106,0.020652,0.000000,0.000000,0.945396,0.015012,0.000000
heavy_object,continuous_force_regression,160,0.362500,0.074723,0.145562,0.007639,0.042518,0.006885,0.090704,0.006870,0.748200,0.018458,0.000000,0.000000,0.979782,0.000000,0.000000
heavy_object,cvar_domain_randomized_mpc,160,0.556250,0.077226,0.130623,0.005314,0.027579,0.004775,0.071862,0.006658,0.800662,0.018351,0.000000,0.000000,0.950073,0.000000,0.000000
heavy_object,geometry_mpc,160,0.000000,0.000000,0.320424,0.012666,0.217380,0.011563,0.253506,0.010933,0.297569,0.026653,0.000000,0.000000,1.412499,0.000000,0.000000
heavy_object,oracle_embodiment_mpc,160,0.787500,0.063586,0.103044,0.004113,0.000000,0.000000,0.049989,0.004787,0.860697,0.013285,0.000000,0.000000,1.056261,0.000000,0.000000
heavy_object,random_shooting,160,0.043750,0.031793,0.340650,0.023273,0.237606,0.022968,0.268340,0.020971,0.256657,0.056370,0.018750,0.021084,1.149743,0.000000,0.000000
heavy_object,raw_force_scalar,160,0.068750,0.039330,0.230944,0.012519,0.127900,0.012198,0.161628,0.011221,0.548969,0.031067,0.000000,0.000000,0.916273,0.000000,0.000000
heavy_object,rc_fev_no_online,160,0.593750,0.076341,0.129801,0.005248,0.026757,0.004675,0.068753,0.006700,0.811519,0.017864,0.000000,0.000000,0.964733,0.103791,0.532201
heavy_object,rc_fev_v5,160,0.587500,0.076520,0.129630,0.005232,0.026586,0.004676,0.069087,0.006698,0.810287,0.017914,0.000000,0.000000,0.967350,0.105769,0.455384
heavy_object,robust_domain_randomized_mpc,160,0.575000,0.076840,0.129942,0.005265,0.026898,0.004536,0.070723,0.006857,0.806308,0.018156,0.000000,0.000000,0.964656,0.000000,0.000000
heavy_object,source_action_transfer,160,0.612500,0.075726,0.142068,0.005608,0.039024,0.006225,0.070150,0.007488,0.806979,0.020189,0.000000,0.000000,0.968490,0.000000,0.000000
heldout_high_gain,cefv_v4,160,0.262500,0.068392,0.180231,0.009242,0.046714,0.007349,0.118074,0.009457,0.672546,0.026187,0.018750,0.021084,0.539209,0.010711,0.000000
heldout_high_gain,continuous_force_regression,160,0.200000,0.062175,0.190347,0.010907,0.056830,0.009281,0.135658,0.009831,0.622807,0.026856,0.025000,0.024268,0.499961,0.000000,0.000000
heldout_high_gain,cvar_domain_randomized_mpc,160,0.300000,0.071231,0.170430,0.009172,0.036913,0.007013,0.110098,0.008835,0.698373,0.023306,0.056250,0.035814,0.516334,0.000000,0.000000
heldout_high_gain,geometry_mpc,160,0.000000,0.000000,0.442951,0.016424,0.309434,0.014833,0.359204,0.009334,0.009953,0.017529,0.068750,0.039330,0.670270,0.000000,0.000000
heldout_high_gain,oracle_embodiment_mpc,160,0.500000,0.077719,0.133517,0.005809,0.000000,0.000000,0.079636,0.006540,0.775978,0.019188,0.000000,0.000000,0.493160,0.000000,0.000000
heldout_high_gain,random_shooting,160,0.031250,0.027045,0.410310,0.031104,0.276793,0.029420,0.323169,0.024630,0.114131,0.064437,0.081250,0.042469,0.626391,0.000000,0.000000
heldout_high_gain,raw_force_scalar,160,0.025000,0.024268,0.303424,0.019136,0.169907,0.018879,0.232858,0.015032,0.360478,0.038383,0.050000,0.033877,0.493678,0.000000,0.000000
heldout_high_gain,rc_fev_no_online,160,0.331250,0.073159,0.168230,0.009167,0.034713,0.006935,0.104836,0.008904,0.713716,0.023043,0.056250,0.035814,0.507915,0.104060,0.532483
heldout_high_gain,rc_fev_v5,160,0.337500,0.073500,0.168715,0.009355,0.035198,0.007151,0.105605,0.009158,0.711500,0.023877,0.056250,0.035814,0.504964,0.107028,0.456849
heldout_high_gain,robust_domain_randomized_mpc,160,0.312500,0.072047,0.173286,0.009422,0.039769,0.007455,0.110250,0.009353,0.699383,0.024241,0.056250,0.035814,0.516823,0.000000,0.000000
heldout_high_gain,source_action_transfer,160,0.412500,0.076520,0.177626,0.007838,0.044109,0.006803,0.104623,0.009891,0.710435,0.026472,0.000000,0.000000,0.516227,0.000000,0.000000
heldout_large_soft,cefv_v4,160,0.562500,0.077109,0.131660,0.007752,0.040376,0.006583,0.077193,0.007180,0.776888,0.021813,0.000000,0.000000,0.379497,0.014691,0.000000
heldout_large_soft,continuous_force_regression,160,0.550000,0.077329,0.123785,0.007648,0.032500,0.006079,0.074441,0.005957,0.787003,0.016893,0.000000,0.000000,0.376600,0.000000,0.000000
heldout_large_soft,cvar_domain_randomized_mpc,160,0.725000,0.069405,0.113813,0.005252,0.022528,0.003901,0.057785,0.005223,0.834561,0.015722,0.000000,0.000000,0.374113,0.000000,0.000000
heldout_large_soft,geometry_mpc,160,0.000000,0.000000,0.249344,0.006208,0.158060,0.004771,0.197610,0.004079,0.438788,0.008848,0.000000,0.000000,0.499008,0.000000,0.000000
heldout_large_soft,oracle_embodiment_mpc,160,0.943750,0.035814,0.091284,0.004380,0.000000,0.000000,0.045029,0.003748,0.873281,0.010464,0.000000,0.000000,0.406395,0.000000,0.000000
heldout_large_soft,random_shooting,160,0.050000,0.033877,0.309043,0.018786,0.217759,0.018145,0.246383,0.017617,0.306115,0.046092,0.000000,0.000000,0.447933,0.000000,0.000000
heldout_large_soft,raw_force_scalar,160,0.106250,0.047899,0.204840,0.012362,0.113556,0.010883,0.147674,0.010734,0.579185,0.029866,0.000000,0.000000,0.344097,0.000000,0.000000
heldout_large_soft,rc_fev_no_online,160,0.781250,0.064258,0.112423,0.005065,0.021139,0.003678,0.053532,0.005100,0.849244,0.014325,0.000000,0.000000,0.378932,0.105137,0.533729
heldout_large_soft,rc_fev_v5,160,0.775000,0.064908,0.112779,0.004998,0.021495,0.003663,0.054079,0.005165,0.846701,0.014965,0.000000,0.000000,0.376611,0.108214,0.458201
heldout_large_soft,robust_domain_randomized_mpc,160,0.743750,0.067858,0.113212,0.005010,0.021928,0.003634,0.056448,0.005381,0.841404,0.014895,0.000000,0.000000,0.376483,0.000000,0.000000
heldout_large_soft,source_action_transfer,160,0.612500,0.075726,0.123422,0.004232,0.032137,0.004001,0.066866,0.006687,0.809185,0.019295,0.000000,0.000000,0.387252,0.000000,0.000000
heldout_small_radius,cefv_v4,160,0.537500,0.077500,0.149985,0.007985,0.057118,0.008248,0.079575,0.006732,0.770955,0.020303,0.012500,0.017270,0.291498,0.014441,0.000000
heldout_small_radius,continuous_force_regression,160,0.512500,0.077695,0.150991,0.006812,0.058125,0.007088,0.080511,0.006718,0.771415,0.018857,0.006250,0.012250,0.293868,0.000000,0.000000
heldout_small_radius,cvar_domain_randomized_mpc,160,0.706250,0.070799,0.132155,0.006857,0.039288,0.007210,0.063035,0.005149,0.821956,0.013967,0.012500,0.017270,0.283931,0.000000,0.000000
heldout_small_radius,geometry_mpc,160,0.000000,0.000000,0.306431,0.008634,0.213565,0.008968,0.249094,0.006352,0.293381,0.010969,0.000000,0.000000,0.471672,0.000000,0.000000
heldout_small_radius,oracle_embodiment_mpc,160,0.887500,0.049115,0.092867,0.003982,0.000000,0.000000,0.042532,0.004001,0.878927,0.011698,0.000000,0.000000,0.315250,0.000000,0.000000
heldout_small_radius,random_shooting,160,0.081250,0.042469,0.320819,0.025398,0.227952,0.025767,0.244811,0.022864,0.314297,0.059562,0.056250,0.035814,0.366640,0.000000,0.000000
heldout_small_radius,raw_force_scalar,160,0.131250,0.052487,0.224859,0.013736,0.131992,0.013805,0.146011,0.010742,0.580268,0.031207,0.043750,0.031793,0.296236,0.000000,0.000000
heldout_small_radius,rc_fev_no_online,160,0.718750,0.069886,0.132280,0.006905,0.039413,0.007243,0.061487,0.005055,0.827919,0.013094,0.012500,0.017270,0.286226,0.103029,0.531323
heldout_small_radius,rc_fev_v5,160,0.737500,0.068392,0.132307,0.006880,0.039440,0.007194,0.060329,0.005087,0.831862,0.012889,0.012500,0.017270,0.285483,0.104584,0.454062
heldout_small_radius,robust_domain_randomized_mpc,160,0.725000,0.069405,0.129864,0.005759,0.036997,0.005996,0.060263,0.004966,0.830884,0.013064,0.006250,0.012250,0.284240,0.000000,0.000000
heldout_small_radius,source_action_transfer,160,0.762500,0.066147,0.128122,0.004778,0.035255,0.005736,0.054160,0.005273,0.846885,0.015027,0.000000,0.000000,0.285143,0.000000,0.000000
heldout_weak_actuator,cefv_v4,160,0.556250,0.077226,0.139524,0.007532,0.047303,0.006906,0.077083,0.006058,0.789292,0.016573,0.000000,0.000000,0.356971,0.013514,0.000000
heldout_weak_actuator,continuous_force_regression,160,0.437500,0.077109,0.139165,0.008857,0.046944,0.007865,0.081859,0.005377,0.778501,0.013676,0.006250,0.012250,0.349418,0.000000,0.000000
heldout_weak_actuator,cvar_domain_randomized_mpc,160,0.631250,0.074994,0.129126,0.006450,0.036905,0.005611,0.065467,0.004385,0.820666,0.011825,0.000000,0.000000,0.332153,0.000000,0.000000
heldout_weak_actuator,geometry_mpc,160,0.000000,0.000000,0.228240,0.005836,0.136020,0.005822,0.174449,0.004149,0.524806,0.010110,0.000000,0.000000,0.490131,0.000000,0.000000
heldout_weak_actuator,oracle_embodiment_mpc,160,0.781250,0.064258,0.092221,0.003768,0.000000,0.000000,0.052374,0.003944,0.853223,0.012218,0.000000,0.000000,0.397924,0.000000,0.000000
heldout_weak_actuator,random_shooting,160,0.081250,0.042469,0.285378,0.018393,0.193157,0.018336,0.218151,0.017725,0.409514,0.045557,0.000000,0.000000,0.418468,0.000000,0.000000
heldout_weak_actuator,raw_force_scalar,160,0.106250,0.047899,0.211363,0.013148,0.119142,0.013051,0.145876,0.010848,0.603196,0.028509,0.018750,0.021084,0.351649,0.000000,0.000000
heldout_weak_actuator,rc_fev_no_online,160,0.631250,0.074994,0.130685,0.006737,0.038464,0.006022,0.067349,0.004874,0.816562,0.012591,0.000000,0.000000,0.327625,0.103873,0.532369
heldout_weak_actuator,rc_fev_v5,160,0.612500,0.075726,0.130664,0.006795,0.038444,0.006119,0.068686,0.004968,0.812882,0.012862,0.000000,0.000000,0.328937,0.107310,0.457235
heldout_weak_actuator,robust_domain_randomized_mpc,160,0.637500,0.074723,0.129799,0.006480,0.037578,0.005857,0.067470,0.004822,0.816236,0.012469,0.000000,0.000000,0.327533,0.000000,0.000000
heldout_weak_actuator,source_action_transfer,160,0.543750,0.077421,0.141219,0.006528,0.048998,0.006185,0.074265,0.004793,0.799495,0.012116,0.000000,0.000000,0.347389,0.000000,0.000000
high_friction,cefv_v4,160,0.525000,0.077622,0.146950,0.007894,0.057583,0.007880,0.078079,0.006239,0.785446,0.018300,0.006250,0.012250,0.907993,0.015007,0.000000
high_friction,continuous_force_regression,160,0.450000,0.077329,0.143295,0.008407,0.053928,0.008182,0.083192,0.005613,0.773948,0.014773,0.000000,0.000000,0.865016,0.000000,0.000000
high_friction,cvar_domain_randomized_mpc,160,0.668750,0.073159,0.127166,0.005741,0.037799,0.005663,0.063268,0.004566,0.826753,0.012498,0.000000,0.000000,0.909793,0.000000,0.000000
high_friction,geometry_mpc,160,0.000000,0.000000,0.261907,0.011144,0.172540,0.010607,0.200711,0.009287,0.454572,0.022383,0.000000,0.000000,1.305114,0.000000,0.000000
high_friction,oracle_embodiment_mpc,160,0.825000,0.059061,0.089367,0.004040,0.000000,0.000000,0.051540,0.003856,0.857485,0.011245,0.000000,0.000000,1.068411,0.000000,0.000000
high_friction,random_shooting,160,0.068750,0.039330,0.331201,0.023418,0.241834,0.023247,0.265594,0.021073,0.276406,0.056183,0.018750,0.021084,1.146835,0.000000,0.000000
high_friction,raw_force_scalar,160,0.100000,0.046631,0.226011,0.014380,0.136644,0.014178,0.157396,0.012749,0.570464,0.033334,0.000000,0.000000,0.808841,0.000000,0.000000
high_friction,rc_fev_no_online,160,0.656250,0.073827,0.128211,0.005964,0.038844,0.005973,0.064252,0.004822,0.825053,0.012841,0.000000,0.000000,0.895396,0.102421,0.530638
high_friction,rc_fev_v5,160,0.662500,0.073500,0.127985,0.005904,0.038618,0.005938,0.063456,0.004819,0.827366,0.012795,0.000000,0.000000,0.890547,0.105232,0.454801
high_friction,robust_domain_randomized_mpc,160,0.625000,0.075251,0.128920,0.006197,0.039553,0.006144,0.066263,0.005015,0.820023,0.013142,0.000000,0.000000,0.885363,0.000000,0.000000
high_friction,source_action_transfer,160,0.575000,0.076840,0.144156,0.007381,0.054789,0.007807,0.071285,0.005748,0.809723,0.013700,0.000000,0.000000,0.899208,0.000000,0.000000
low_friction,cefv_v4,160,0.437500,0.077109,0.154600,0.007808,0.040743,0.007125,0.082268,0.007508,0.764044,0.022138,0.012500,0.017270,0.202408,0.014012,0.000000
low_friction,continuous_force_regression,160,0.312500,0.072047,0.161190,0.008356,0.047333,0.007983,0.098372,0.007967,0.719205,0.021493,0.012500,0.017270,0.195668,0.000000,0.000000
low_friction,cvar_domain_randomized_mpc,160,0.525000,0.077622,0.134447,0.004983,0.020591,0.004694,0.072399,0.006965,0.795284,0.019652,0.006250,0.012250,0.188505,0.000000,0.000000
low_friction,geometry_mpc,160,0.000000,0.000000,0.324289,0.010365,0.210433,0.009860,0.268296,0.009001,0.236142,0.023348,0.000000,0.000000,0.285388,0.000000,0.000000
low_friction,oracle_embodiment_mpc,160,0.656250,0.073827,0.113857,0.003998,0.000000,0.000000,0.057426,0.005434,0.832792,0.017373,0.000000,0.000000,0.186783,0.000000,0.000000
low_friction,random_shooting,160,0.006250,0.012250,0.352893,0.022363,0.239036,0.022448,0.281550,0.018936,0.199170,0.052396,0.031250,0.027045,0.248384,0.000000,0.000000
low_friction,raw_force_scalar,160,0.031250,0.027045,0.246699,0.013733,0.132842,0.013306,0.178335,0.011978,0.492620,0.033104,0.031250,0.027045,0.214454,0.000000,0.000000
low_friction,rc_fev_no_online,160,0.531250,0.077567,0.135437,0.005082,0.021580,0.004807,0.072400,0.006897,0.796257,0.019185,0.006250,0.012250,0.187944,0.102659,0.530868
low_friction,rc_fev_v5,160,0.531250,0.077567,0.134949,0.005062,0.021092,0.004825,0.072444,0.006901,0.796085,0.019202,0.006250,0.012250,0.188080,0.105244,0.454723
low_friction,robust_domain_randomized_mpc,160,0.512500,0.077695,0.135975,0.005348,0.022118,0.004871,0.075194,0.007256,0.789149,0.019859,0.006250,0.012250,0.190638,0.000000,0.000000
low_friction,source_action_transfer,160,0.612500,0.075726,0.140170,0.005378,0.026313,0.004904,0.066329,0.006915,0.808879,0.019965,0.006250,0.012250,0.205205,0.000000,0.000000
nominal,cefv_v4,160,0.562500,0.077109,0.133751,0.008337,0.037297,0.007193,0.077763,0.007747,0.763489,0.023581,0.012500,0.017270,0.300140,0.017691,0.000000
nominal,continuous_force_regression,160,0.550000,0.077329,0.127350,0.007431,0.030895,0.005558,0.076835,0.006424,0.766882,0.019066,0.000000,0.000000,0.318754,0.000000,0.000000
nominal,cvar_domain_randomized_mpc,160,0.687500,0.072047,0.112134,0.005169,0.015680,0.003667,0.059276,0.005224,0.818008,0.016538,0.006250,0.012250,0.319992,0.000000,0.000000
nominal,geometry_mpc,160,0.000000,0.000000,0.278980,0.007695,0.182526,0.007001,0.225078,0.006183,0.320394,0.012395,0.000000,0.000000,0.442117,0.000000,0.000000
nominal,oracle_embodiment_mpc,160,0.881250,0.050283,0.096454,0.003945,0.000000,0.000000,0.040488,0.004254,0.877858,0.012774,0.000000,0.000000,0.344792,0.000000,0.000000
nominal,random_shooting,160,0.075000,0.040941,0.303871,0.019320,0.207417,0.019095,0.239767,0.018242,0.276929,0.052177,0.006250,0.012250,0.391155,0.000000,0.000000
nominal,raw_force_scalar,160,0.168750,0.058216,0.203193,0.012500,0.106739,0.011445,0.137713,0.009749,0.579215,0.029988,0.018750,0.021084,0.313041,0.000000,0.000000
nominal,rc_fev_no_online,160,0.737500,0.068392,0.111606,0.005165,0.015152,0.003691,0.054547,0.005155,0.834873,0.015605,0.006250,0.012250,0.322080,0.103224,0.531579
nominal,rc_fev_v5,160,0.725000,0.069405,0.111881,0.005178,0.015427,0.003721,0.055357,0.005290,0.832686,0.016008,0.006250,0.012250,0.318709,0.106226,0.455945
nominal,robust_domain_randomized_mpc,160,0.718750,0.069886,0.112946,0.005386,0.016492,0.003899,0.056233,0.005413,0.831276,0.015813,0.006250,0.012250,0.326632,0.000000,0.000000
nominal,source_action_transfer,160,0.718750,0.069886,0.116540,0.004229,0.020086,0.002975,0.053089,0.006256,0.837847,0.019287,0.000000,0.000000,0.341183,0.000000,0.000000
