split,method,episodes,success_rate,success_ci95,energy_mean,energy_ci95,energy_regret_mean,energy_regret_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,failure_ci95,normal_impulse_mean,token_uncertainty_mean,robust_anchor_weight_mean
combined_shift,action_only_vocabulary,160,0.362500,0.074723,0.175496,0.011610,0.072529,0.010500,0.106384,0.010504,0.738824,0.025049,0.006250,0.012250,0.861668,0.123958,0.550496
combined_shift,cefv_v4,160,0.331250,0.073159,0.180548,0.011142,0.077580,0.010650,0.110905,0.009536,0.727383,0.023070,0.012500,0.017270,0.884845,0.015086,0.000000
combined_shift,cvar_domain_randomized_mpc,160,0.362500,0.074723,0.176746,0.011875,0.073778,0.010819,0.107066,0.010456,0.737854,0.024746,0.006250,0.012250,0.885704,0.000000,0.000000
combined_shift,oracle_embodiment_mpc,160,0.725000,0.069405,0.102967,0.006128,0.000000,0.000000,0.059620,0.006241,0.850840,0.015972,0.000000,0.000000,1.041653,0.000000,0.000000
combined_shift,rc_fev_no_embodiment_normalization,160,0.350000,0.074139,0.176134,0.011790,0.073166,0.010787,0.107284,0.010573,0.736802,0.025047,0.006250,0.012250,0.879270,0.111811,0.461996
combined_shift,rc_fev_no_online,160,0.343750,0.073827,0.175542,0.011760,0.072575,0.010731,0.107533,0.010514,0.736453,0.024832,0.006250,0.012250,0.878194,0.105556,0.534191
combined_shift,rc_fev_no_robust_anchor,160,0.356250,0.074438,0.177402,0.011660,0.074434,0.010899,0.106794,0.010074,0.738866,0.023634,0.006250,0.012250,0.895214,0.108378,0.000000
combined_shift,rc_fev_no_tangent_rotation_features,160,0.337500,0.073500,0.175676,0.011777,0.072709,0.010785,0.107665,0.010526,0.735789,0.024950,0.006250,0.012250,0.877350,0.112927,0.463833
combined_shift,rc_fev_v5,160,0.343750,0.073827,0.176210,0.011773,0.073243,0.010760,0.107740,0.010532,0.735730,0.024943,0.006250,0.012250,0.884911,0.109383,0.459560
combined_shift,robust_domain_randomized_mpc,160,0.343750,0.073827,0.176736,0.011738,0.073768,0.010639,0.108597,0.010558,0.733576,0.025003,0.006250,0.012250,0.870394,0.000000,0.000000
combined_shift,small_vocabulary_k3,160,0.331250,0.073159,0.176026,0.011760,0.073059,0.010750,0.108071,0.010487,0.734855,0.024847,0.006250,0.012250,0.877882,0.096684,0.444761
heavy_object,action_only_vocabulary,160,0.581250,0.076686,0.129658,0.005444,0.026614,0.004670,0.071202,0.007259,0.804690,0.019127,0.000000,0.000000,0.945697,0.101259,0.527588
heavy_object,cefv_v4,160,0.418750,0.076686,0.144018,0.006806,0.040974,0.006649,0.086598,0.007327,0.758106,0.020652,0.000000,0.000000,0.945396,0.015012,0.000000
heavy_object,cvar_domain_randomized_mpc,160,0.556250,0.077226,0.130623,0.005314,0.027579,0.004775,0.071862,0.006658,0.800662,0.018351,0.000000,0.000000,0.950073,0.000000,0.000000
heavy_object,oracle_embodiment_mpc,160,0.787500,0.063586,0.103044,0.004113,0.000000,0.000000,0.049989,0.004787,0.860697,0.013285,0.000000,0.000000,1.056261,0.000000,0.000000
heavy_object,rc_fev_no_embodiment_normalization,160,0.612500,0.075726,0.129571,0.005249,0.026527,0.004670,0.066949,0.006639,0.816891,0.017546,0.000000,0.000000,0.962618,0.109919,0.460006
heavy_object,rc_fev_no_online,160,0.593750,0.076341,0.129801,0.005248,0.026757,0.004675,0.068753,0.006700,0.811519,0.017864,0.000000,0.000000,0.964733,0.103791,0.532201
heavy_object,rc_fev_no_robust_anchor,160,0.631250,0.074994,0.130229,0.005638,0.027185,0.005282,0.065564,0.006771,0.819487,0.018445,0.000000,0.000000,0.949133,0.104882,0.000000
heavy_object,rc_fev_no_tangent_rotation_features,160,0.606250,0.075944,0.129567,0.005239,0.026523,0.004662,0.067581,0.006676,0.814794,0.017773,0.000000,0.000000,0.967738,0.110495,0.461060
heavy_object,rc_fev_v5,160,0.587500,0.076520,0.129630,0.005232,0.026586,0.004676,0.069087,0.006698,0.810287,0.017914,0.000000,0.000000,0.967350,0.105769,0.455384
heavy_object,robust_domain_randomized_mpc,160,0.575000,0.076840,0.129942,0.005265,0.026898,0.004536,0.070723,0.006857,0.806308,0.018156,0.000000,0.000000,0.964656,0.000000,0.000000
heavy_object,small_vocabulary_k3,160,0.593750,0.076341,0.129595,0.005243,0.026552,0.004660,0.068409,0.006678,0.812489,0.017802,0.000000,0.000000,0.968486,0.094611,0.442243
