phase,split,method,episodes,success_rate,success_ci95,energy_mean,energy_ci95,energy_regret_mean,energy_regret_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,failure_ci95,normal_impulse_mean,token_uncertainty_mean,robust_anchor_weight_mean
early,actuation_noise,source_action_transfer,56,0.375000,0.127947,0.162508,0.012059,0.049482,0.013347,0.089853,0.011373,0.765257,0.029974,0.000000,0.000000,0.428554,0.000000,0.000000
early,combined_shift,cefv_v4,56,0.285714,0.119392,0.184518,0.019256,0.079021,0.017245,0.120786,0.016574,0.699756,0.040585,0.017857,0.035000,0.886579,0.014668,0.000000
early,combined_shift,continuous_force_regression,56,0.267857,0.117037,0.182070,0.021461,0.076574,0.017281,0.118851,0.019204,0.702630,0.048929,0.000000,0.000000,0.936485,0.000000,0.000000
early,combined_shift,cvar_domain_randomized_mpc,56,0.392857,0.129074,0.183243,0.021561,0.077746,0.018937,0.114109,0.020037,0.719308,0.047603,0.000000,0.000000,0.875136,0.000000,0.000000
early,combined_shift,geometry_mpc,56,0.017857,0.035000,0.347315,0.036532,0.241818,0.029725,0.268696,0.027318,0.323662,0.068965,0.035714,0.049045,1.429767,0.000000,0.000000
early,combined_shift,oracle_embodiment_mpc,56,0.642857,0.126635,0.105497,0.010882,0.000000,0.000000,0.063609,0.011526,0.839092,0.028906,0.000000,0.000000,1.030903,0.000000,0.000000
early,combined_shift,random_shooting,56,0.107143,0.081742,0.326313,0.043248,0.220816,0.038883,0.257540,0.039657,0.353086,0.100410,0.017857,0.035000,1.016512,0.000000,0.000000
early,combined_shift,raw_force_scalar,56,0.125000,0.087404,0.251876,0.037919,0.146379,0.033028,0.170176,0.029385,0.581638,0.067307,0.071429,0.068064,0.831814,0.000000,0.000000
early,combined_shift,rc_fev_no_online,56,0.375000,0.127947,0.179957,0.021439,0.074460,0.018772,0.112414,0.019486,0.722595,0.046323,0.000000,0.000000,0.869148,0.107543,0.536333
early,combined_shift,rc_fev_v5,56,0.357143,0.126635,0.180200,0.021418,0.074703,0.018712,0.113723,0.019411,0.718625,0.046418,0.000000,0.000000,0.870728,0.109482,0.513663
early,combined_shift,robust_domain_randomized_mpc,56,0.375000,0.127947,0.181328,0.021309,0.075831,0.018567,0.111270,0.019489,0.726091,0.046109,0.000000,0.000000,0.870151,0.000000,0.000000
early,combined_shift,source_action_transfer,56,0.339286,0.125131,0.190192,0.017169,0.084696,0.018087,0.112824,0.017105,0.722018,0.039312,0.000000,0.000000,0.857359,0.000000,0.000000
early,heavy_object,cefv_v4,56,0.428571,0.130788,0.147844,0.011614,0.040462,0.010215,0.088738,0.013128,0.753236,0.036890,0.000000,0.000000,0.989053,0.017484,0.000000
early,heavy_object,continuous_force_regression,56,0.321429,0.123428,0.146790,0.012693,0.039408,0.010611,0.095880,0.011564,0.737793,0.029795,0.000000,0.000000,0.995404,0.000000,0.000000
early,heavy_object,cvar_domain_randomized_mpc,56,0.482143,0.132059,0.135581,0.009712,0.028199,0.007628,0.079415,0.012416,0.783159,0.032906,0.000000,0.000000,0.975618,0.000000,0.000000
early,heavy_object,geometry_mpc,56,0.000000,0.000000,0.343094,0.023902,0.235712,0.020436,0.277099,0.020794,0.237360,0.047270,0.000000,0.000000,1.374395,0.000000,0.000000
early,heavy_object,oracle_embodiment_mpc,56,0.821429,0.101220,0.107382,0.007068,0.000000,0.000000,0.046936,0.009050,0.871169,0.023787,0.000000,0.000000,1.027316,0.000000,0.000000
early,heavy_object,random_shooting,56,0.053571,0.059509,0.333484,0.040443,0.226102,0.038820,0.262317,0.036410,0.269513,0.099834,0.017857,0.035000,1.083623,0.000000,0.000000
early,heavy_object,raw_force_scalar,56,0.071429,0.068064,0.245685,0.024297,0.138303,0.023237,0.175067,0.022634,0.514705,0.060627,0.000000,0.000000,0.901141,0.000000,0.000000
early,heavy_object,rc_fev_no_online,56,0.517857,0.132059,0.134313,0.009374,0.026931,0.006993,0.076958,0.012605,0.790945,0.033002,0.000000,0.000000,0.984434,0.103798,0.532225
early,heavy_object,rc_fev_v5,56,0.517857,0.132059,0.134313,0.009374,0.026931,0.006993,0.076958,0.012605,0.790945,0.033002,0.000000,0.000000,0.984434,0.104852,0.508482
early,heavy_object,robust_domain_randomized_mpc,56,0.517857,0.132059,0.134313,0.009374,0.026931,0.006993,0.076958,0.012605,0.790945,0.033002,0.000000,0.000000,0.984434,0.000000,0.000000
early,heavy_object,source_action_transfer,56,0.553571,0.131383,0.146226,0.010396,0.038845,0.009475,0.075480,0.015446,0.794786,0.040856,0.000000,0.000000,0.956226,0.000000,0.000000
early,heldout_high_gain,cefv_v4,56,0.267857,0.117037,0.172673,0.013664,0.040435,0.011879,0.114985,0.016951,0.692760,0.043955,0.000000,0.000000,0.540917,0.012518,0.000000
early,heldout_high_gain,continuous_force_regression,56,0.178571,0.101220,0.188499,0.016893,0.056260,0.013842,0.138390,0.017325,0.626775,0.044806,0.017857,0.035000,0.551766,0.000000,0.000000
early,heldout_high_gain,cvar_domain_randomized_mpc,56,0.267857,0.117037,0.168716,0.014206,0.036477,0.010587,0.118716,0.015780,0.685214,0.038936,0.017857,0.035000,0.580264,0.000000,0.000000
early,heldout_high_gain,geometry_mpc,56,0.000000,0.000000,0.461369,0.031649,0.329131,0.028369,0.370419,0.016688,0.008508,0.026600,0.089286,0.075363,0.684865,0.000000,0.000000
early,heldout_high_gain,oracle_embodiment_mpc,56,0.500000,0.132143,0.132238,0.009040,0.000000,0.000000,0.071824,0.009178,0.806232,0.025932,0.000000,0.000000,0.504387,0.000000,0.000000
early,heldout_high_gain,random_shooting,56,0.000000,0.000000,0.408613,0.053224,0.276375,0.050494,0.327813,0.038506,0.111945,0.101162,0.089286,0.075363,0.532043,0.000000,0.000000
early,heldout_high_gain,raw_force_scalar,56,0.000000,0.000000,0.330856,0.034454,0.198617,0.034554,0.263911,0.027022,0.290534,0.068055,0.035714,0.049045,0.518098,0.000000,0.000000
early,heldout_high_gain,rc_fev_no_online,56,0.303571,0.121519,0.166452,0.014359,0.034214,0.010609,0.114325,0.016767,0.697889,0.041559,0.017857,0.035000,0.574010,0.105403,0.534068
early,heldout_high_gain,rc_fev_v5,56,0.303571,0.121519,0.166658,0.014460,0.034420,0.010676,0.113978,0.016582,0.698704,0.041193,0.017857,0.035000,0.570915,0.106597,0.510503
early,heldout_high_gain,robust_domain_randomized_mpc,56,0.303571,0.121519,0.169694,0.014478,0.037455,0.010849,0.115968,0.017112,0.693889,0.042214,0.017857,0.035000,0.583248,0.000000,0.000000
early,heldout_high_gain,source_action_transfer,56,0.428571,0.130788,0.183452,0.014635,0.051213,0.013032,0.110621,0.019254,0.708500,0.048176,0.000000,0.000000,0.498660,0.000000,0.000000
early,heldout_large_soft,cefv_v4,56,0.500000,0.132143,0.142069,0.014425,0.048819,0.012611,0.085766,0.013959,0.751082,0.042040,0.000000,0.000000,0.385728,0.015818,0.000000
early,heldout_large_soft,continuous_force_regression,56,0.553571,0.131383,0.123858,0.011369,0.030608,0.009924,0.075842,0.010806,0.779727,0.031420,0.000000,0.000000,0.387490,0.000000,0.000000
early,heldout_large_soft,cvar_domain_randomized_mpc,56,0.750000,0.114439,0.115751,0.008386,0.022500,0.006593,0.055055,0.008411,0.839632,0.026929,0.000000,0.000000,0.386510,0.000000,0.000000
early,heldout_large_soft,geometry_mpc,56,0.000000,0.000000,0.249578,0.010969,0.156328,0.009058,0.196416,0.007472,0.440735,0.015304,0.000000,0.000000,0.519810,0.000000,0.000000
early,heldout_large_soft,oracle_embodiment_mpc,56,0.946429,0.059509,0.093250,0.007152,0.000000,0.000000,0.045753,0.006563,0.871403,0.018152,0.000000,0.000000,0.412082,0.000000,0.000000
early,heldout_large_soft,random_shooting,56,0.017857,0.035000,0.289352,0.028254,0.196102,0.028177,0.229308,0.027327,0.351151,0.070469,0.000000,0.000000,0.455393,0.000000,0.000000
early,heldout_large_soft,raw_force_scalar,56,0.107143,0.081742,0.205577,0.022128,0.112326,0.019417,0.148413,0.019308,0.573106,0.053890,0.000000,0.000000,0.345070,0.000000,0.000000
early,heldout_large_soft,rc_fev_no_online,56,0.839286,0.097064,0.113072,0.008022,0.019822,0.006038,0.048924,0.008761,0.861787,0.024355,0.000000,0.000000,0.392075,0.105126,0.533712
early,heldout_large_soft,rc_fev_v5,56,0.839286,0.097064,0.113072,0.008022,0.019822,0.006038,0.048924,0.008761,0.861787,0.024355,0.000000,0.000000,0.392075,0.108128,0.512214
early,heldout_large_soft,robust_domain_randomized_mpc,56,0.767857,0.111582,0.114670,0.008045,0.021419,0.006003,0.052609,0.009316,0.851833,0.025411,0.000000,0.000000,0.397666,0.000000,0.000000
early,heldout_large_soft,source_action_transfer,56,0.553571,0.131383,0.124092,0.007260,0.030841,0.006726,0.070383,0.011313,0.798082,0.032967,0.000000,0.000000,0.393506,0.000000,0.000000
early,heldout_small_radius,cefv_v4,56,0.517857,0.132059,0.157920,0.016887,0.061664,0.016905,0.084493,0.012990,0.757244,0.038267,0.035714,0.049045,0.294313,0.017706,0.000000
early,heldout_small_radius,continuous_force_regression,56,0.500000,0.132143,0.149599,0.011367,0.053343,0.011047,0.082485,0.011138,0.766834,0.029798,0.000000,0.000000,0.295144,0.000000,0.000000
early,heldout_small_radius,cvar_domain_randomized_mpc,56,0.696429,0.121519,0.134045,0.013292,0.037789,0.013728,0.064082,0.009499,0.819815,0.024794,0.017857,0.035000,0.275470,0.000000,0.000000
early,heldout_small_radius,geometry_mpc,56,0.000000,0.000000,0.295767,0.013901,0.199511,0.012221,0.244877,0.010944,0.301124,0.021082,0.000000,0.000000,0.458855,0.000000,0.000000
early,heldout_small_radius,oracle_embodiment_mpc,56,0.910714,0.075363,0.096256,0.006614,0.000000,0.000000,0.043191,0.006675,0.877905,0.018703,0.000000,0.000000,0.313242,0.000000,0.000000
early,heldout_small_radius,random_shooting,56,0.071429,0.068064,0.312273,0.038343,0.216017,0.038883,0.239695,0.035745,0.324126,0.093471,0.035714,0.049045,0.375012,0.000000,0.000000
early,heldout_small_radius,raw_force_scalar,56,0.178571,0.101220,0.215329,0.022993,0.119073,0.022439,0.138243,0.017647,0.604410,0.048678,0.035714,0.049045,0.311346,0.000000,0.000000
early,heldout_small_radius,rc_fev_no_online,56,0.714286,0.119392,0.136082,0.013005,0.039826,0.013598,0.061406,0.009311,0.830084,0.022477,0.017857,0.035000,0.273818,0.103667,0.532178
early,heldout_small_radius,rc_fev_v5,56,0.714286,0.119392,0.135617,0.013087,0.039361,0.013555,0.061191,0.009338,0.830657,0.022568,0.017857,0.035000,0.273004,0.104775,0.508484
early,heldout_small_radius,robust_domain_randomized_mpc,56,0.714286,0.119392,0.129932,0.007534,0.033676,0.007331,0.060657,0.008786,0.831756,0.021526,0.000000,0.000000,0.277402,0.000000,0.000000
early,heldout_small_radius,source_action_transfer,56,0.785714,0.108444,0.125179,0.007667,0.028923,0.008372,0.051309,0.008675,0.854400,0.024852,0.000000,0.000000,0.293211,0.000000,0.000000
early,heldout_weak_actuator,cefv_v4,56,0.660714,0.125131,0.141685,0.011380,0.046520,0.010971,0.071517,0.010470,0.804182,0.028010,0.000000,0.000000,0.342975,0.015819,0.000000
early,heldout_weak_actuator,continuous_force_regression,56,0.375000,0.127947,0.133710,0.013494,0.038545,0.011293,0.080086,0.008648,0.780789,0.022846,0.000000,0.000000,0.323262,0.000000,0.000000
early,heldout_weak_actuator,cvar_domain_randomized_mpc,56,0.607143,0.129074,0.129848,0.011306,0.034684,0.010651,0.064137,0.007713,0.822413,0.021369,0.000000,0.000000,0.309889,0.000000,0.000000
early,heldout_weak_actuator,geometry_mpc,56,0.000000,0.000000,0.233230,0.009159,0.138066,0.009544,0.179985,0.006291,0.506353,0.013981,0.000000,0.000000,0.440813,0.000000,0.000000
early,heldout_weak_actuator,oracle_embodiment_mpc,56,0.714286,0.119392,0.095165,0.005894,0.000000,0.000000,0.056762,0.006784,0.840020,0.020833,0.000000,0.000000,0.336812,0.000000,0.000000
early,heldout_weak_actuator,random_shooting,56,0.089286,0.075363,0.293637,0.030368,0.198472,0.031159,0.226112,0.031211,0.379846,0.082110,0.000000,0.000000,0.388710,0.000000,0.000000
early,heldout_weak_actuator,raw_force_scalar,56,0.035714,0.049045,0.220884,0.018607,0.125719,0.018680,0.150830,0.015990,0.587634,0.041356,0.017857,0.035000,0.332027,0.000000,0.000000
early,heldout_weak_actuator,rc_fev_no_online,56,0.589286,0.130019,0.132931,0.011503,0.037766,0.010577,0.067116,0.008332,0.815876,0.021864,0.000000,0.000000,0.303872,0.103399,0.531783
early,heldout_weak_actuator,rc_fev_v5,56,0.589286,0.130019,0.132113,0.011214,0.036948,0.010406,0.068094,0.008397,0.813423,0.021864,0.000000,0.000000,0.307278,0.105777,0.509605
early,heldout_weak_actuator,robust_domain_randomized_mpc,56,0.625000,0.127947,0.129971,0.010055,0.034806,0.009649,0.066158,0.008065,0.818051,0.021454,0.000000,0.000000,0.303575,0.000000,0.000000
early,heldout_weak_actuator,source_action_transfer,56,0.571429,0.130788,0.143708,0.010961,0.048543,0.010580,0.071682,0.009106,0.804822,0.023354,0.000000,0.000000,0.325637,0.000000,0.000000
early,high_friction,cefv_v4,56,0.535714,0.131806,0.137704,0.009633,0.048079,0.009441,0.074396,0.009831,0.790699,0.029336,0.000000,0.000000,0.800434,0.017263,0.000000
early,high_friction,continuous_force_regression,56,0.428571,0.130788,0.134621,0.012806,0.044996,0.012192,0.080871,0.008777,0.773809,0.023847,0.000000,0.000000,0.718067,0.000000,0.000000
early,high_friction,cvar_domain_randomized_mpc,56,0.714286,0.119392,0.126907,0.009543,0.037282,0.008892,0.063217,0.007575,0.822031,0.021148,0.000000,0.000000,0.767015,0.000000,0.000000
early,high_friction,geometry_mpc,56,0.000000,0.000000,0.247657,0.016301,0.158033,0.015604,0.189926,0.013566,0.471153,0.030531,0.000000,0.000000,1.154165,0.000000,0.000000
early,high_friction,oracle_embodiment_mpc,56,0.857143,0.092481,0.089625,0.006634,0.000000,0.000000,0.052187,0.005765,0.851799,0.017114,0.000000,0.000000,0.878691,0.000000,0.000000
early,high_friction,random_shooting,56,0.089286,0.075363,0.301686,0.032554,0.212061,0.032958,0.241137,0.030287,0.328912,0.080690,0.000000,0.000000,1.125460,0.000000,0.000000
early,high_friction,raw_force_scalar,56,0.142857,0.092481,0.211806,0.025169,0.122181,0.025110,0.148495,0.021678,0.581435,0.058728,0.000000,0.000000,0.657395,0.000000,0.000000
early,high_friction,rc_fev_no_online,56,0.732143,0.117037,0.125093,0.009588,0.035468,0.008895,0.062251,0.007692,0.825627,0.021094,0.000000,0.000000,0.761756,0.103823,0.532292
early,high_friction,rc_fev_v5,56,0.732143,0.117037,0.125093,0.009588,0.035468,0.008895,0.062251,0.007692,0.825627,0.021094,0.000000,0.000000,0.761756,0.105767,0.509581
early,high_friction,robust_domain_randomized_mpc,56,0.732143,0.117037,0.124503,0.009520,0.034879,0.008791,0.061976,0.007713,0.826305,0.021188,0.000000,0.000000,0.759890,0.000000,0.000000
early,high_friction,source_action_transfer,56,0.678571,0.123428,0.138740,0.011889,0.049116,0.011352,0.064118,0.009310,0.824111,0.022335,0.000000,0.000000,0.779411,0.000000,0.000000
early,low_friction,cefv_v4,56,0.535714,0.131806,0.150996,0.010754,0.039227,0.010185,0.076075,0.011679,0.785420,0.032844,0.000000,0.000000,0.205762,0.016267,0.000000
early,low_friction,continuous_force_regression,56,0.339286,0.125131,0.168716,0.016055,0.056947,0.016570,0.099698,0.014337,0.717971,0.037868,0.035714,0.049045,0.192405,0.000000,0.000000
early,low_friction,cvar_domain_randomized_mpc,56,0.553571,0.131383,0.141477,0.009298,0.029707,0.010923,0.071656,0.012324,0.798780,0.033770,0.017857,0.035000,0.188339,0.000000,0.000000
early,low_friction,geometry_mpc,56,0.000000,0.000000,0.322400,0.018330,0.210631,0.017255,0.264369,0.014877,0.251330,0.039106,0.000000,0.000000,0.279889,0.000000,0.000000
early,low_friction,oracle_embodiment_mpc,56,0.732143,0.117037,0.111769,0.007129,0.000000,0.000000,0.053298,0.008469,0.845555,0.027455,0.000000,0.000000,0.179688,0.000000,0.000000
early,low_friction,random_shooting,56,0.017857,0.035000,0.336223,0.034146,0.224454,0.034324,0.265987,0.030860,0.240422,0.090443,0.017857,0.035000,0.241709,0.000000,0.000000
early,low_friction,raw_force_scalar,56,0.000000,0.000000,0.259627,0.024525,0.147858,0.023761,0.185923,0.020238,0.476152,0.053252,0.035714,0.049045,0.211638,0.000000,0.000000
early,low_friction,rc_fev_no_online,56,0.553571,0.131383,0.143606,0.009593,0.031837,0.011282,0.073087,0.012402,0.795450,0.033536,0.017857,0.035000,0.185886,0.103063,0.531313
early,low_friction,rc_fev_v5,56,0.553571,0.131383,0.143606,0.009593,0.031837,0.011282,0.073087,0.012402,0.795450,0.033536,0.017857,0.035000,0.185886,0.104017,0.507438
early,low_friction,robust_domain_randomized_mpc,56,0.535714,0.131806,0.144484,0.009697,0.032715,0.011104,0.075569,0.013026,0.788696,0.035024,0.017857,0.035000,0.186400,0.000000,0.000000
early,low_friction,source_action_transfer,56,0.714286,0.119392,0.141355,0.008767,0.029585,0.008659,0.062039,0.012320,0.823772,0.033347,0.000000,0.000000,0.199287,0.000000,0.000000
early,nominal,cefv_v4,56,0.535714,0.131806,0.142712,0.016016,0.046575,0.015668,0.078575,0.012865,0.765632,0.038315,0.035714,0.049045,0.286107,0.021128,0.000000
early,nominal,continuous_force_regression,56,0.482143,0.132059,0.128444,0.013776,0.032307,0.010121,0.080686,0.011503,0.759232,0.034320,0.000000,0.000000,0.300103,0.000000,0.000000
early,nominal,cvar_domain_randomized_mpc,56,0.660714,0.125131,0.113618,0.010735,0.017481,0.008459,0.061708,0.009057,0.815033,0.028365,0.017857,0.035000,0.303663,0.000000,0.000000
early,nominal,geometry_mpc,56,0.000000,0.000000,0.277958,0.013209,0.181821,0.013087,0.227096,0.011735,0.333507,0.020136,0.000000,0.000000,0.480526,0.000000,0.000000
early,nominal,oracle_embodiment_mpc,56,0.892857,0.081742,0.096137,0.006788,0.000000,0.000000,0.038820,0.007320,0.887853,0.019935,0.000000,0.000000,0.339853,0.000000,0.000000
early,nominal,random_shooting,56,0.142857,0.092481,0.276902,0.030119,0.180765,0.030053,0.215738,0.030278,0.369284,0.083634,0.000000,0.000000,0.362977,0.000000,0.000000
early,nominal,raw_force_scalar,56,0.178571,0.101220,0.209061,0.024417,0.112924,0.022835,0.136621,0.017415,0.587521,0.053175,0.053571,0.059509,0.306094,0.000000,0.000000
early,nominal,rc_fev_no_online,56,0.696429,0.121519,0.114386,0.010660,0.018249,0.008440,0.059131,0.009135,0.824728,0.027784,0.017857,0.035000,0.294927,0.102681,0.530993
early,nominal,rc_fev_v5,56,0.678571,0.123428,0.113996,0.010677,0.017859,0.008463,0.059715,0.009178,0.823075,0.027864,0.017857,0.035000,0.292291,0.105591,0.509429
early,nominal,robust_domain_randomized_mpc,56,0.696429,0.121519,0.113301,0.010716,0.017164,0.008391,0.057898,0.009239,0.831356,0.026259,0.017857,0.035000,0.301265,0.000000,0.000000
early,nominal,source_action_transfer,56,0.750000,0.114439,0.114901,0.007592,0.018764,0.004947,0.052017,0.010514,0.843200,0.032613,0.000000,0.000000,0.328195,0.000000,0.000000
late,actuation_noise,cefv_v4,48,0.333333,0.134772,0.179284,0.020439,0.065385,0.019263,0.112024,0.018841,0.706165,0.049248,0.020833,0.040833,0.465446,0.013120,0.000000
late,actuation_noise,continuous_force_regression,48,0.270833,0.127049,0.198918,0.024549,0.085019,0.022736,0.131418,0.024173,0.650440,0.065927,0.000000,0.000000,0.534165,0.000000,0.000000
late,actuation_noise,cvar_domain_randomized_mpc,48,0.437500,0.141827,0.162519,0.018867,0.048620,0.016975,0.093221,0.018055,0.752085,0.048839,0.020833,0.040833,0.506780,0.000000,0.000000
late,actuation_noise,geometry_mpc,48,0.000000,0.000000,0.393954,0.043037,0.280055,0.040320,0.311994,0.028997,0.179694,0.073426,0.083333,0.079017,0.692657,0.000000,0.000000
late,actuation_noise,oracle_embodiment_mpc,48,0.729167,0.127049,0.113899,0.009499,0.000000,0.000000,0.054492,0.010019,0.855323,0.026513,0.000000,0.000000,0.508867,0.000000,0.000000
late,actuation_noise,random_shooting,48,0.020833,0.040833,0.348412,0.049971,0.234513,0.048050,0.267649,0.041786,0.295656,0.113450,0.041667,0.057129,0.566484,0.000000,0.000000
late,actuation_noise,raw_force_scalar,48,0.000000,0.000000,0.309608,0.039869,0.195709,0.037397,0.225069,0.029728,0.409546,0.076994,0.083333,0.079017,0.485416,0.000000,0.000000
late,actuation_noise,rc_fev_no_online,48,0.458333,0.142450,0.159483,0.018923,0.045584,0.016522,0.090459,0.017440,0.761556,0.045127,0.020833,0.040833,0.516928,0.105830,0.534541
late,actuation_noise,rc_fev_v5,48,0.458333,0.142450,0.159483,0.018923,0.045584,0.016522,0.090459,0.017440,0.761556,0.045127,0.020833,0.040833,0.516928,0.109312,0.401167
late,actuation_noise,robust_domain_randomized_mpc,48,0.416667,0.140948,0.161708,0.019129,0.047809,0.017490,0.094059,0.018005,0.751580,0.046790,0.020833,0.040833,0.503642,0.000000,0.000000
late,actuation_noise,source_action_transfer,48,0.312500,0.132516,0.174973,0.015622,0.061074,0.016249,0.104044,0.017358,0.729926,0.045173,0.000000,0.000000,0.504035,0.000000,0.000000
late,combined_shift,cefv_v4,48,0.437500,0.141827,0.174648,0.022813,0.074527,0.021783,0.099064,0.017543,0.757913,0.041269,0.020833,0.040833,0.852886,0.013927,0.000000
late,combined_shift,continuous_force_regression,48,0.270833,0.127049,0.195454,0.026553,0.095333,0.024875,0.127894,0.023118,0.686840,0.053388,0.020833,0.040833,0.837408,0.000000,0.000000
late,combined_shift,cvar_domain_randomized_mpc,48,0.416667,0.140948,0.173162,0.024405,0.073041,0.022133,0.102823,0.020060,0.748885,0.046852,0.020833,0.040833,0.886271,0.000000,0.000000
late,combined_shift,geometry_mpc,48,0.000000,0.000000,0.342032,0.039013,0.241911,0.032586,0.263705,0.026787,0.351575,0.064619,0.041667,0.057129,1.372199,0.000000,0.000000
late,combined_shift,oracle_embodiment_mpc,48,0.750000,0.123796,0.100121,0.012485,0.000000,0.000000,0.057706,0.012758,0.855526,0.032398,0.000000,0.000000,1.005158,0.000000,0.000000
late,combined_shift,random_shooting,48,0.083333,0.079017,0.315342,0.043953,0.215221,0.039198,0.245065,0.036884,0.391751,0.096899,0.020833,0.040833,1.060454,0.000000,0.000000
late,combined_shift,raw_force_scalar,48,0.145833,0.100904,0.259104,0.048112,0.158983,0.043703,0.183938,0.036614,0.551387,0.085668,0.062500,0.069204,0.734768,0.000000,0.000000
late,combined_shift,rc_fev_no_online,48,0.395833,0.139811,0.175960,0.023233,0.075839,0.021323,0.104599,0.019859,0.744737,0.046480,0.020833,0.040833,0.870251,0.105715,0.534475
late,combined_shift,rc_fev_v5,48,0.416667,0.140948,0.177791,0.023396,0.077670,0.021632,0.103095,0.020013,0.748833,0.046700,0.020833,0.040833,0.872744,0.109510,0.401476
late,combined_shift,robust_domain_randomized_mpc,48,0.395833,0.139811,0.178262,0.022529,0.078141,0.020845,0.108294,0.019755,0.734676,0.046832,0.020833,0.040833,0.848182,0.000000,0.000000
late,combined_shift,source_action_transfer,48,0.354167,0.136732,0.186047,0.017978,0.085926,0.018722,0.110604,0.016991,0.732514,0.038176,0.000000,0.000000,0.808475,0.000000,0.000000
late,heavy_object,cefv_v4,48,0.395833,0.139811,0.142188,0.011429,0.036761,0.011854,0.091340,0.014655,0.741296,0.041207,0.000000,0.000000,0.861273,0.012036,0.000000
late,heavy_object,continuous_force_regression,48,0.354167,0.136732,0.142017,0.010947,0.036590,0.010424,0.086914,0.012239,0.751796,0.034439,0.000000,0.000000,0.930788,0.000000,0.000000
late,heavy_object,cvar_domain_randomized_mpc,48,0.562500,0.141827,0.129829,0.009596,0.024402,0.007682,0.071136,0.012743,0.799383,0.035507,0.000000,0.000000,0.850378,0.000000,0.000000
late,heavy_object,geometry_mpc,48,0.000000,0.000000,0.318651,0.023416,0.213224,0.023247,0.249712,0.020363,0.298165,0.049049,0.000000,0.000000,1.366796,0.000000,0.000000
late,heavy_object,oracle_embodiment_mpc,48,0.729167,0.127049,0.105427,0.008219,0.000000,0.000000,0.051399,0.009530,0.853534,0.027438,0.000000,0.000000,0.981325,0.000000,0.000000
late,heavy_object,random_shooting,48,0.041667,0.057129,0.340889,0.041548,0.235462,0.041900,0.270329,0.037365,0.235555,0.105277,0.020833,0.040833,1.172895,0.000000,0.000000
late,heavy_object,raw_force_scalar,48,0.083333,0.079017,0.212141,0.020398,0.106714,0.020282,0.148913,0.018138,0.581972,0.046125,0.000000,0.000000,0.881931,0.000000,0.000000
late,heavy_object,rc_fev_no_online,48,0.604167,0.139811,0.127981,0.009356,0.022554,0.007295,0.066949,0.012754,0.812223,0.034859,0.000000,0.000000,0.875663,0.104130,0.532537
late,heavy_object,rc_fev_v5,48,0.604167,0.139811,0.127716,0.009378,0.022289,0.007486,0.066683,0.012806,0.813418,0.034850,0.000000,0.000000,0.876747,0.105733,0.396981
late,heavy_object,robust_domain_randomized_mpc,48,0.604167,0.139811,0.128330,0.009513,0.022904,0.007456,0.067647,0.013171,0.811810,0.034933,0.000000,0.000000,0.887438,0.000000,0.000000
late,heavy_object,source_action_transfer,48,0.666667,0.134772,0.136903,0.009118,0.031476,0.010522,0.066031,0.012465,0.814645,0.033856,0.000000,0.000000,0.910367,0.000000,0.000000
