phase,split,method,episodes,success_rate,success_ci95,energy_mean,energy_ci95,energy_regret_mean,energy_regret_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,failure_ci95,normal_impulse_mean,token_uncertainty_mean,robust_anchor_weight_mean
early,actuation_noise,cefv_v4,56,0.303571,0.121519,0.186779,0.015873,0.073752,0.015017,0.122930,0.017236,0.677208,0.045249,0.000000,0.000000,0.481135,0.016399,0.000000
early,actuation_noise,continuous_force_regression,56,0.285714,0.119392,0.183588,0.020735,0.070561,0.017465,0.127848,0.020048,0.668352,0.048056,0.000000,0.000000,0.443237,0.000000,0.000000
early,actuation_noise,cvar_domain_randomized_mpc,56,0.464286,0.131806,0.153775,0.013626,0.040748,0.010661,0.091256,0.015296,0.765218,0.036822,0.000000,0.000000,0.433681,0.000000,0.000000
early,actuation_noise,geometry_mpc,56,0.000000,0.000000,0.384855,0.042762,0.271828,0.039683,0.302208,0.027467,0.212009,0.065988,0.089286,0.075363,0.638869,0.000000,0.000000
early,actuation_noise,oracle_embodiment_mpc,56,0.678571,0.123428,0.113027,0.009591,0.000000,0.000000,0.062918,0.008753,0.835089,0.023263,0.000000,0.000000,0.457657,0.000000,0.000000
early,actuation_noise,random_shooting,56,0.017857,0.035000,0.351677,0.040929,0.238651,0.038758,0.275250,0.034964,0.277324,0.090629,0.035714,0.049045,0.494171,0.000000,0.000000
early,actuation_noise,raw_force_scalar,56,0.089286,0.075363,0.287542,0.040081,0.174515,0.038343,0.208777,0.030831,0.460194,0.073116,0.053571,0.059509,0.427419,0.000000,0.000000
early,actuation_noise,rc_fev_no_online,56,0.482143,0.132059,0.149632,0.013349,0.036605,0.009559,0.089968,0.015474,0.766892,0.038495,0.000000,0.000000,0.430006,0.108390,0.537638
early,actuation_noise,rc_fev_v5,56,0.482143,0.132059,0.149632,0.013349,0.036605,0.009559,0.089968,0.015474,0.766892,0.038495,0.000000,0.000000,0.430006,0.110222,0.514809
early,actuation_noise,robust_domain_randomized_mpc,56,0.446429,0.131383,0.153778,0.013466,0.040751,0.009868,0.096467,0.015970,0.751256,0.039073,0.000000,0.000000,0.431693,0.000000,0.000000
