method,episodes,success_rate,success_ci95,energy_mean,energy_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,normal_impulse_mean
action_only_vocabulary,60,0.2333,0.1079,0.1975,0.0198,0.1331,0.0204,0.6593,0.0528,0.0000,1.1127
cefv_full,60,0.2667,0.1128,0.1685,0.0178,0.1176,0.0159,0.6983,0.0420,0.0000,1.1625
cefv_no_embodiment_normalization,60,0.2333,0.1079,0.1761,0.0180,0.1137,0.0155,0.7085,0.0413,0.0000,1.1026
cefv_no_online_adaptation,60,0.2833,0.1150,0.1639,0.0154,0.1119,0.0136,0.7126,0.0371,0.0000,1.1865
continuous_force_regression,60,0.1167,0.0819,0.2758,0.0364,0.2081,0.0290,0.4755,0.0701,0.0333,1.3071
no_tangent_rotation_features,60,0.2833,0.1150,0.1630,0.0158,0.1117,0.0139,0.7132,0.0378,0.0000,1.1831
small_vocabulary_k3,60,0.2333,0.1079,0.1720,0.0163,0.1163,0.0139,0.7006,0.0383,0.0000,1.2142
