method,episodes,success_rate,energy_mean,energy_regret_mean,final_distance_mean,failure_rate,token_uncertainty_mean,robust_anchor_weight_mean
cefv_v4,1600,0.452500,0.153922,0.051314,0.089934,0.008125,0.014451,0.000000
continuous_force_regression,1600,0.393125,0.155746,0.053138,0.096868,0.005625,0.000000,0.000000
cvar_domain_randomized_mpc,1600,0.564375,0.138113,0.035506,0.076125,0.009375,0.000000,0.000000
geometry_mpc,1600,0.000625,0.313017,0.210410,0.248677,0.018750,0.000000,0.000000
oracle_embodiment_mpc,1600,0.772500,0.102608,0.000000,0.053627,0.000000,0.000000,0.000000
random_shooting,1600,0.053750,0.333614,0.231006,0.261899,0.027500,0.000000,0.000000
raw_force_scalar,1600,0.090625,0.241429,0.138821,0.171524,0.026250,0.000000,0.000000
rc_fev_no_online,1600,0.578750,0.137864,0.035257,0.074697,0.009375,0.103960,0.532403
rc_fev_v5,1600,0.578125,0.137896,0.035288,0.074844,0.009375,0.106742,0.456527
robust_domain_randomized_mpc,1600,0.562500,0.138737,0.036129,0.076798,0.008750,0.000000,0.000000
source_action_transfer,1600,0.556875,0.146920,0.044312,0.076747,0.000625,0.000000,0.000000
